# Params: -a -s1 -m -r -p0 -e1000,1000 -t3000

# Threads Run Runtime
1 1 98093
2 1 95141
3 1 95068
4 1 99064
1 2 98887
2 2 95655
3 2 94026
4 2 100958
1 3 99148
2 3 94661
3 3 95784
4 3 101177
