# Params: -a -s1 -w10000 -h10000 -e20000,20000 -t3000

# Threads Run Runtime
1 1 939076
2 1 530577
3 1 398183
4 1 334716
1 2 943008
2 2 520909
3 2 401942
4 2 334549
1 3 938571
2 3 530518
3 3 401855
4 3 336249
