sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,5,0,39,-1,-1,41
10,3218,3247,6,55,67,-1,-1,67
20,3140,2041,4,30,38,-1,-1,38
30,3153,1332,2,18,23,-1,-1,23
40,3192,1067,2,14,18,-1,-1,18
50,3226,870,2,11,13,-1,-1,13
60,3259,841,2,11,40,-1,-1,40
70,3314,1287,2,18,22,-1,-1,22
80,3359,1044,2,14,18,-1,-1,18
90,3428,906,1,12,15,-1,-1,15
100,3469,847,3,11,66,-1,-1,66
110,3526,808,1,13,16,-1,-1,16
120,3539,799,1,11,40,-1,-1,40
130,3558,1336,2,20,24,-1,-1,24
140,3620,1122,1,15,20,-1,-1,20
150,3635,991,2,13,18,-1,-1,18
160,3678,925,2,12,16,-1,-1,16
170,3695,888,2,12,16,-1,-1,16
180,3714,872,2,12,45,-1,-1,45
190,3737,1467,2,22,28,-1,-1,28
200,3777,1213,2,18,66,-1,-1,66
210,3814,1073,2,16,20,-1,-1,20
220,3834,1005,2,14,19,-1,-1,19
230,3845,963,2,14,17,-1,-1,17
240,3848,947,2,14,49,-1,-1,49
250,3879,1619,2,25,31,-1,-1,31
260,3950,1336,2,20,25,-1,-1,25
270,3952,1175,2,18,22,-1,-1,22
280,3964,1111,3,16,21,-1,-1,21
290,3996,1066,2,16,20,-1,-1,21
300,4005,1049,2,15,102,-1,-1,103
310,3975,1746,3,29,34,-1,-1,34
320,4018,1453,2,22,28,-1,-1,28
330,3984,1305,3,21,27,-1,-1,27
340,4013,1236,3,19,24,-1,-1,24
350,4006,1198,2,18,23,-1,-1,23
360,3973,1162,3,18,59,-1,-1,59
370,3957,1911,2,33,39,-1,-1,39
380,3951,1617,2,26,32,-1,-1,32
390,3945,1439,2,23,28,-1,-1,28
400,3939,1352,2,22,71,-1,-1,71
410,3927,1281,2,20,24,-1,-1,24
420,3927,1255,3,20,64,-1,-1,64
430,3924,2061,3,36,43,-1,-1,43
440,3916,1714,3,28,35,-1,-1,35
450,3923,1511,3,24,30,-1,-1,30
460,3938,1428,3,22,29,-1,-1,30
470,3897,1345,2,21,27,-1,-1,27
480,3927,1318,3,21,65,-1,-1,66
490,3876,2115,3,38,45,-1,-1,45
500,3839,1783,3,30,77,-1,-1,77
510,3834,1583,3,26,32,-1,-1,33
520,3833,1483,2,24,30,-1,-1,30
530,3815,1423,3,23,27,-1,-1,27
540,3811,1391,4,22,71,-1,-1,71
550,3773,2260,3,41,48,-1,-1,49
560,3726,1873,4,32,41,-1,-1,41
570,3740,1648,3,27,34,-1,-1,35
580,3737,1535,4,25,32,-1,-1,32
590,3708,1451,5,24,31,-1,-1,32
600,3717,1424,7,23,121,-1,-1,121
610,3634,2287,7,41,53,-1,-1,53
620,3646,1944,5,34,43,-1,-1,43
630,3636,1714,6,28,39,-1,-1,39
640,3590,1605,4,26,34,-1,-1,34
650,3531,1536,5,25,32,-1,-1,32
660,3532,1503,7,24,78,-1,-1,79
670,3500,2422,6,45,56,-1,-1,56
680,3491,2042,7,35,46,-1,-1,46
690,3459,1851,5,32,41,-1,-1,41
700,3424,1731,2,29,80,-1,-1,80
710,3406,1630,5,26,35,-1,-1,35
720,3376,1583,5,26,79,-1,-1,79
730,3265,2566,8,47,60,-1,-1,60
740,3210,2168,6,38,49,-1,-1,49
750,3165,1928,6,33,42,-1,-1,42
760,3169,1828,2,30,35,-1,-1,35
770,3149,1742,3,29,34,-1,-1,35
780,3124,1690,6,28,82,-1,-1,82
790,3071,2661,6,49,62,-1,-1,62
800,3016,2246,3,39,83,-1,-1,84
810,3040,1987,5,34,43,-1,-1,43
820,2963,1850,5,31,39,-1,-1,40
830,2927,1746,5,28,37,-1,-1,37
840,2905,1696,4,27,82,-1,-1,83
850,2885,2674,5,49,61,-1,-1,61
860,2875,2281,6,40,51,-1,-1,51
870,2885,2019,5,34,44,-1,-1,44
880,2873,1898,4,31,39,-1,-1,40
890,2837,1777,4,29,36,-1,-1,36
900,2817,1730,3,28,127,-1,-1,128
910,2721,2729,5,50,60,-1,-1,60
920,2665,2303,6,39,51,-1,-1,51
930,2670,2050,5,34,43,-1,-1,43
940,2653,1942,5,31,40,-1,-1,40
950,2609,1830,4,29,37,-1,-1,37
960,2565,1771,3,28,82,-1,-1,83
970,2532,2786,7,51,64,-1,-1,64
980,2506,2356,6,41,52,-1,-1,52
990,2495,2100,7,34,46,-1,-1,47
1000,2495,1980,2,32,80,-1,-1,80
1010,2484,1866,4,30,38,-1,-1,38
1020,2492,1804,5,30,85,-1,-1,85
1030,2472,2801,6,50,62,-1,-1,62
1040,2436,2380,9,41,54,-1,-1,54
1050,2404,2146,7,36,47,-1,-1,47
1060,2406,2002,5,32,41,-1,-1,41
1070,2406,1881,5,30,38,-1,-1,39
1080,2432,1804,6,28,85,-1,-1,85
1090,2374,2786,9,50,65,-1,-1,65
1100,2359,2359,6,40,89,-1,-1,89
1110,2376,2092,10,34,48,-1,-1,48
1120,2353,1965,8,32,43,-1,-1,43
1130,2323,1843,6,29,39,-1,-1,39
1140,2300,1772,9,28,86,-1,-1,86
1150,2273,2746,8,51,65,-1,-1,65
1160,2275,2328,11,40,55,-1,-1,55
1170,2306,2078,10,34,48,-1,-1,48
1180,2280,1967,8,32,43,-1,-1,43
1190,2295,1871,7,30,39,-1,-1,39
1200,2259,1790,4,28,127,-1,-1,127
1210,2202,2740,12,48,66,-1,-1,66
1220,2173,2323,11,39,56,-1,-1,56
1230,2212,2088,11,34,49,-1,-1,49
1240,2186,1955,9,31,44,-1,-1,44
1250,2163,1863,9,29,41,-1,-1,41
1260,2167,1806,9,28,86,-1,-1,86
1270,2121,2807,9,50,65,-1,-1,65
1280,2151,2389,10,40,56,-1,-1,56
1290,2186,2142,9,35,49,-1,-1,49
1300,2224,2012,4,32,81,-1,-1,81
1310,2251,1905,7,30,40,-1,-1,40
1320,2248,1826,7,29,85,-1,-1,85
1330,2181,2814,8,50,63,-1,-1,64
1340,2201,2371,11,40,55,-1,-1,55
1350,2189,2135,11,35,50,-1,-1,50
1360,2148,2039,8,33,45,-1,-1,45
1370,2184,1924,5,30,39,-1,-1,39
1380,2175,1845,6,30,83,-1,-1,83
1390,2144,2828,8,51,64,-1,-1,65
1400,2101,2413,4,40,87,-1,-1,87
1410,2120,2171,9,35,49,-1,-1,49
1420,2139,2022,8,33,45,-1,-1,45
1430,2176,1915,5,30,39,-1,-1,39
1440,2216,1842,6,29,83,-1,-1,84
1450,2200,2822,8,51,65,-1,-1,65
1460,2169,2350,12,39,56,-1,-1,56
1470,2145,2122,11,35,51,-1,-1,51
1480,2155,2011,10,33,45,-1,-1,45
1490,2142,1884,7,29,39,-1,-1,39
1500,2142,1805,5,28,127,-1,-1,128
1510,2135,2746,12,48,66,-1,-1,66
1520,2154,2317,13,39,57,-1,-1,57
1530,2117,2094,12,34,50,-1,-1,50
1540,2105,1987,10,32,46,-1,-1,46
1550,2050,1878,8,30,40,-1,-1,40
1560,2040,1830,12,29,87,-1,-1,87
1570,2018,2749,11,48,65,-1,-1,66
1580,2009,2353,15,39,58,-1,-1,59
1590,2016,2127,11,35,49,-1,-1,49
1600,2018,2028,6,32,82,-1,-1,82
1610,1992,1944,8,30,42,-1,-1,42
1620,2021,1866,11,29,85,-1,-1,86
1630,1997,2777,14,48,68,-1,-1,68
1640,1996,2353,15,39,59,-1,-1,59
1650,2024,2143,13,34,51,-1,-1,51
1660,2013,2021,12,32,47,-1,-1,48
1670,2011,1921,8,30,40,-1,-1,40
1680,2010,1864,9,29,82,-1,-1,83
1690,1966,2759,12,49,66,-1,-1,66
1700,1961,2388,6,39,88,-1,-1,88
1710,1961,2184,11,36,51,-1,-1,51
1720,1970,2058,9,33,45,-1,-1,45
1730,1974,1960,6,31,41,-1,-1,41
1740,1952,1886,10,29,83,-1,-1,83
1750,1905,2777,12,49,66,-1,-1,66
1760,1944,2410,13,41,58,-1,-1,58
1770,1942,2226,10,37,50,-1,-1,51
1780,1974,2064,8,33,45,-1,-1,45
1790,1992,1954,6,31,39,-1,-1,39
1800,1940,1885,5,29,126,-1,-1,126
1810,1921,2764,9,48,63,-1,-1,63
1820,1922,2379,12,40,56,-1,-1,56
1830,1901,2202,9,36,49,-1,-1,49
1840,1904,2032,10,32,44,-1,-1,44
1850,1914,1917,7,30,40,-1,-1,40
1860,1915,1859,9,30,80,-1,-1,80
1870,1869,2730,9,47,62,-1,-1,62
1880,1876,2366,11,39,55,-1,-1,55
1890,1894,2176,8,35,47,-1,-1,47
1900,1875,2046,4,33,84,-1,-1,84
1910,1910,1937,4,30,38,-1,-1,38
1920,1897,1900,6,30,78,-1,-1,78
1930,1875,2761,6,48,59,-1,-1,59
1940,1863,2392,7,39,53,-1,-1,53
1950,1865,2176,7,35,46,-1,-1,46
1960,1879,2024,6,32,41,-1,-1,42
1970,1878,1918,5,29,37,-1,-1,37
1980,1876,1863,6,29,77,-1,-1,78
1990,1853,2699,7,48,59,-1,-1,59
2000,1847,2317,4,38,88,-1,-1,88
2010,1869,2140,8,35,46,-1,-1,47
2020,1838,2019,7,32,41,-1,-1,42
2030,1852,1911,4,30,37,-1,-1,37
2040,1858,1863,9,29,79,-1,-1,80
2050,1846,2708,5,47,58,-1,-1,58
2060,1837,2369,6,39,51,-1,-1,51
2070,1855,2169,7,35,46,-1,-1,46
2080,1875,2003,5,32,41,-1,-1,41
2090,1903,1896,4,29,37,-1,-1,38
2100,1871,1837,2,29,123,-1,-1,123
2110,1843,2684,6,46,58,-1,-1,58
2120,1822,2345,9,39,53,-1,-1,53
2130,1825,2135,8,35,48,-1,-1,48
2140,1848,1973,9,32,44,-1,-1,45
2150,1865,1882,5,30,38,-1,-1,38
2160,1860,1842,7,29,78,-1,-1,78
2170,1815,2684,7,47,60,-1,-1,60
2180,1803,2356,11,39,54,-1,-1,55
2190,1798,2181,8,35,48,-1,-1,48
2200,1790,2018,3,32,83,-1,-1,83
2210,1792,1919,5,29,38,-1,-1,39
2220,1781,1880,4,29,76,-1,-1,76
2230,1766,2732,6,46,59,-1,-1,59
2240,1785,2384,10,40,54,-1,-1,54
2250,1783,2204,7,36,48,-1,-1,48
2260,1772,2028,8,32,43,-1,-1,44
2270,1753,1936,4,30,38,-1,-1,38
2280,1708,1895,6,30,76,-1,-1,77
2290,1701,2731,4,47,57,-1,-1,57
2300,1712,2424,2,40,90,-1,-1,90
2310,1718,2194,6,35,46,-1,-1,46
2320,1740,2032,5,32,41,-1,-1,41
2330,1725,1938,2,29,35,-1,-1,35
2340,1757,1888,6,29,74,-1,-1,74
2350,1714,2724,3,47,56,-1,-1,56
2360,1688,2425,6,40,52,-1,-1,52
2370,1730,2218,7,35,46,-1,-1,46
2380,1738,2035,7,32,41,-1,-1,42
2390,1747,1917,4,30,38,-1,-1,38
2400,1746,1875,3,29,122,-1,-1,122
2410,1729,2702,5,46,57,-1,-1,57
2420,1717,2395,7,39,51,-1,-1,51
2430,1755,2184,9,35,48,-1,-1,48
2440,1733,2031,7,32,43,-1,-1,43
2450,1718,1917,4,30,38,-1,-1,38
2460,1732,1872,7,29,74,-1,-1,75
2470,1723,2680,6,46,57,-1,-1,58
2480,1739,2363,8,39,52,-1,-1,52
2490,1758,2171,8,34,46,-1,-1,46
2500,1762,2021,1,32,83,-1,-1,83
2510,1725,1916,6,29,38,-1,-1,38
2520,1725,1840,10,28,75,-1,-1,75
2530,1727,2601,10,44,59,-1,-1,59
2540,1717,2317,11,37,53,-1,-1,53
2550,1737,2149,10,34,48,-1,-1,48
2560,1716,1973,10,30,44,-1,-1,44
2570,1713,1887,6,29,38,-1,-1,39
2580,1705,1826,8,28,74,-1,-1,74
2590,1675,2619,7,45,57,-1,-1,58
2600,1684,2346,5,38,87,-1,-1,88
2610,1726,2142,11,34,49,-1,-1,49
2620,1727,1983,8,31,43,-1,-1,43
2630,1728,1887,6,29,39,-1,-1,39
2640,1724,1826,7,28,73,-1,-1,73
2650,1736,2622,6,44,56,-1,-1,56
2660,1721,2323,8,38,52,-1,-1,52
2670,1708,2131,9,34,47,-1,-1,47
2680,1685,1965,8,30,42,-1,-1,43
2690,1670,1911,5,29,37,-1,-1,37
2700,1638,1844,3,28,115,-1,-1,115
2710,1610,2639,7,44,57,-1,-1,57
2720,1638,2348,8,38,51,-1,-1,51
