sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,7,0,48,-1,-1,54
10,2481,2494,6,39,48,-1,-1,48
20,2417,1554,2,21,26,-1,-1,27
30,2474,1019,2,12,16,-1,-1,17
40,2512,800,1,10,13,-1,-1,14
50,2532,641,2,8,10,-1,-1,10
60,2556,629,2,8,30,-1,-1,31
70,2573,961,1,13,15,-1,-1,16
80,2586,775,2,9,13,-1,-1,13
90,2605,679,1,9,12,-1,-1,12
100,2619,632,1,8,64,-1,-1,65
110,2628,598,2,7,10,-1,-1,10
120,2646,594,3,8,32,-1,-1,33
130,2729,995,1,14,17,-1,-1,18
140,2783,815,1,11,14,-1,-1,15
150,2830,716,1,9,12,-1,-1,13
160,2860,660,2,9,11,-1,-1,11
170,2871,632,1,8,12,-1,-1,12
180,2950,614,4,8,33,-1,-1,34
190,2996,1043,2,14,18,-1,-1,19
200,3054,851,1,12,70,-1,-1,71
210,3097,736,3,10,13,-1,-1,14
220,3125,699,2,9,12,-1,-1,13
230,3185,656,3,9,12,-1,-1,13
240,3232,647,3,9,36,-1,-1,37
250,3235,1110,4,16,22,-1,-1,23
260,3261,928,1,13,17,-1,-1,18
270,3295,804,2,11,15,-1,-1,17
280,3308,757,2,11,14,-1,-1,14
290,3333,720,2,10,13,-1,-1,14
300,3378,710,2,10,90,-1,-1,91
310,3369,1214,2,19,22,-1,-1,23
320,3349,1016,2,15,19,-1,-1,19
330,3397,870,3,12,17,-1,-1,18
340,3387,817,3,11,16,-1,-1,17
350,3397,768,2,10,15,-1,-1,16
360,3418,754,6,10,42,-1,-1,44
370,3443,1276,2,19,25,-1,-1,26
380,3451,1075,3,16,21,-1,-1,23
390,3442,956,3,14,19,-1,-1,21
400,3466,892,2,14,73,-1,-1,74
410,3493,835,3,12,17,-1,-1,18
420,3530,816,8,12,46,-1,-1,48
430,3541,1359,5,22,29,-1,-1,30
440,3546,1162,5,18,26,-1,-1,26
450,3583,1019,4,15,22,-1,-1,22
460,3584,953,5,14,21,-1,-1,22
470,3580,895,5,14,19,-1,-1,19
480,3565,877,6,13,49,-1,-1,50
490,3509,1467,6,24,33,-1,-1,34
500,3504,1250,2,20,77,-1,-1,78
510,3536,1098,4,17,24,-1,-1,25
520,3502,1032,5,16,23,-1,-1,24
530,3456,987,3,15,20,-1,-1,22
540,3427,967,7,14,52,-1,-1,53
550,3403,1586,6,26,35,-1,-1,36
560,3376,1351,4,21,28,-1,-1,29
570,3377,1192,4,18,26,-1,-1,26
580,3376,1109,4,17,24,-1,-1,24
590,3379,1061,4,15,22,-1,-1,22
600,3388,1043,2,16,106,-1,-1,107
610,3350,1672,5,27,37,-1,-1,38
620,3359,1427,3,22,29,-1,-1,30
630,3342,1253,5,19,27,-1,-1,27
640,3345,1169,6,17,26,-1,-1,26
650,3351,1104,5,16,24,-1,-1,25
660,3323,1081,9,17,59,-1,-1,59
670,3261,1750,6,30,39,-1,-1,40
680,3245,1490,4,25,31,-1,-1,33
690,3247,1299,6,20,29,-1,-1,29
700,3248,1209,2,19,77,-1,-1,79
710,3234,1148,5,17,24,-1,-1,25
720,3231,1123,11,17,60,-1,-1,61
730,3067,1771,8,30,42,-1,-1,43
740,3057,1557,5,25,34,-1,-1,35
750,3079,1378,6,22,31,-1,-1,31
760,3048,1267,6,20,29,-1,-1,29
770,3025,1187,4,19,26,-1,-1,27
780,3008,1165,9,18,60,-1,-1,61
790,2950,1812,9,30,43,-1,-1,44
800,2918,1555,3,24,84,-1,-1,84
810,2903,1372,7,21,31,-1,-1,32
820,2907,1260,7,19,29,-1,-1,29
830,2896,1189,7,18,26,-1,-1,27
840,2879,1173,11,17,62,-1,-1,63
850,2855,1851,8,31,43,-1,-1,44
860,2843,1590,9,26,38,-1,-1,38
870,2837,1430,8,22,34,-1,-1,34
880,2885,1308,6,20,29,-1,-1,30
890,2876,1226,5,18,27,-1,-1,27
900,2860,1197,8,18,113,-1,-1,113
910,2833,1875,6,35,44,-1,-1,44
920,2789,1628,7,27,36,-1,-1,37
930,2759,1450,8,23,34,-1,-1,34
940,2705,1334,7,22,31,-1,-1,32
950,2710,1251,6,18,28,-1,-1,29
960,2680,1225,12,19,63,-1,-1,63
970,2601,1932,8,33,44,-1,-1,44
980,2621,1674,6,28,37,-1,-1,38
990,2621,1482,7,24,33,-1,-1,34
1000,2584,1375,2,21,84,-1,-1,84
1010,2545,1290,6,20,28,-1,-1,28
1020,2554,1250,13,18,65,-1,-1,65
1030,2555,1934,7,33,44,-1,-1,44
1040,2549,1691,8,28,39,-1,-1,40
1050,2523,1511,9,23,36,-1,-1,37
1060,2519,1409,5,22,29,-1,-1,30
1070,2540,1306,5,20,28,-1,-1,28
1080,2494,1255,14,18,65,-1,-1,66
1090,2494,1927,10,32,46,-1,-1,47
1100,2505,1672,3,27,86,-1,-1,87
1110,2498,1504,7,23,34,-1,-1,34
1120,2496,1410,6,21,31,-1,-1,31
1130,2492,1312,6,20,28,-1,-1,28
1140,2506,1273,13,19,65,-1,-1,66
1150,2454,1972,8,33,45,-1,-1,46
1160,2432,1741,6,28,38,-1,-1,39
1170,2447,1556,6,25,34,-1,-1,35
1180,2426,1447,4,22,30,-1,-1,30
1190,2424,1341,3,20,27,-1,-1,27
1200,2435,1288,2,19,113,-1,-1,113
1210,2413,1966,6,33,43,-1,-1,44
1220,2401,1740,7,28,39,-1,-1,39
1230,2421,1542,5,24,33,-1,-1,33
1240,2416,1435,5,22,30,-1,-1,31
1250,2428,1350,4,21,27,-1,-1,27
1260,2417,1300,12,20,65,-1,-1,65
1270,2380,1966,8,33,45,-1,-1,45
1280,2390,1734,5,28,36,-1,-1,37
1290,2398,1524,5,24,31,-1,-1,32
1300,2383,1451,1,22,80,-1,-1,80
1310,2390,1345,3,21,27,-1,-1,27
1320,2368,1296,12,19,63,-1,-1,64
1330,2329,1954,8,33,45,-1,-1,45
1340,2319,1733,4,27,35,-1,-1,36
1350,2329,1552,6,24,33,-1,-1,34
1360,2294,1437,6,22,30,-1,-1,30
1370,2320,1327,6,19,28,-1,-1,28
1380,2316,1277,14,19,64,-1,-1,65
1390,2263,1932,10,32,45,-1,-1,45
1400,2274,1725,3,27,85,-1,-1,86
1410,2312,1560,7,24,33,-1,-1,33
