sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,6,0,49,-1,-1,51
10,2424,2505,7,38,48,-1,-1,49
20,2365,1603,1,21,25,-1,-1,27
30,2353,1051,1,13,16,-1,-1,17
40,2352,808,1,9,12,-1,-1,13
50,2354,648,1,7,9,-1,-1,11
60,2392,629,0,7,29,-1,-1,31
70,2430,995,1,12,16,-1,-1,17
80,2460,814,1,10,12,-1,-1,13
90,2544,713,1,9,11,-1,-1,12
100,2590,660,1,8,62,-1,-1,64
110,2633,621,1,8,10,-1,-1,11
120,2645,611,1,8,30,-1,-1,32
130,2675,999,1,13,15,-1,-1,17
140,2700,830,1,11,13,-1,-1,15
150,2769,744,1,10,12,-1,-1,14
160,2823,673,1,8,10,-1,-1,12
170,2845,635,1,8,10,-1,-1,11
180,2879,626,2,8,32,-1,-1,33
190,2932,1055,1,15,17,-1,-1,18
200,3002,864,2,12,64,-1,-1,66
210,3050,755,2,10,12,-1,-1,14
220,3108,701,1,9,11,-1,-1,13
230,3154,650,1,8,11,-1,-1,12
240,3220,641,4,9,34,-1,-1,36
250,3250,1081,3,15,20,-1,-1,23
260,3278,892,3,12,18,-1,-1,19
270,3323,791,3,11,14,-1,-1,15
280,3372,753,2,10,15,-1,-1,15
290,3415,711,2,10,13,-1,-1,14
300,3456,692,2,10,86,-1,-1,87
310,3478,1157,3,17,23,-1,-1,25
320,3510,983,1,15,19,-1,-1,20
330,3516,880,2,12,16,-1,-1,18
340,3561,828,2,11,15,-1,-1,16
350,3564,779,3,11,14,-1,-1,16
360,3606,759,5,11,41,-1,-1,42
370,3617,1239,4,19,24,-1,-1,26
380,3640,1039,3,15,21,-1,-1,22
390,3704,914,4,13,19,-1,-1,20
400,3719,860,2,13,67,-1,-1,67
410,3741,805,4,12,17,-1,-1,18
420,3721,789,8,12,46,-1,-1,47
430,3709,1307,5,20,29,-1,-1,29
440,3718,1101,6,17,24,-1,-1,24
450,3738,965,5,14,22,-1,-1,22
460,3699,911,6,13,20,-1,-1,21
470,3709,860,5,12,19,-1,-1,19
480,3729,833,10,13,49,-1,-1,50
490,3731,1388,6,22,30,-1,-1,32
500,3759,1201,5,18,76,-1,-1,77
510,3778,1042,6,15,23,-1,-1,23
520,3763,971,6,14,23,-1,-1,24
530,3802,911,5,13,21,-1,-1,22
540,3829,890,8,13,50,-1,-1,52
550,3781,1481,7,24,35,-1,-1,35
560,3796,1287,4,21,28,-1,-1,30
570,3818,1133,6,17,26,-1,-1,27
580,3819,1065,6,17,25,-1,-1,25
590,3828,988,6,14,22,-1,-1,23
600,3818,969,5,15,101,-1,-1,102
610,3781,1589,6,27,35,-1,-1,37
620,3769,1369,4,22,29,-1,-1,31
630,3756,1204,6,18,27,-1,-1,28
640,3739,1126,6,17,25,-1,-1,26
650,3746,1063,4,16,22,-1,-1,24
660,3751,1035,7,16,55,-1,-1,56
670,3706,1696,5,29,38,-1,-1,40
680,3728,1471,3,25,31,-1,-1,33
690,3747,1290,5,21,28,-1,-1,29
700,3772,1191,3,20,77,-1,-1,78
710,3765,1116,5,17,23,-1,-1,26
720,3751,1085,7,17,58,-1,-1,59
730,3604,1775,5,30,38,-1,-1,43
740,3585,1537,4,25,33,-1,-1,34
750,3554,1359,6,21,30,-1,-1,30
760,3534,1262,6,20,29,-1,-1,29
770,3521,1185,5,18,26,-1,-1,26
780,3502,1165,5,17,59,-1,-1,60
790,3449,1865,5,32,41,-1,-1,43
800,3389,1646,3,27,84,-1,-1,86
810,3368,1456,5,24,31,-1,-1,32
820,3345,1347,4,22,29,-1,-1,29
830,3300,1259,6,19,26,-1,-1,26
840,3292,1231,5,19,60,-1,-1,61
850,3293,1948,5,33,43,-1,-1,43
860,3268,1718,5,29,37,-1,-1,37
870,3239,1500,6,25,32,-1,-1,32
880,3204,1378,5,22,29,-1,-1,30
890,3192,1279,5,19,27,-1,-1,27
900,3197,1247,5,19,110,-1,-1,111
910,3159,1951,5,33,42,-1,-1,42
920,3170,1736,5,29,38,-1,-1,38
930,3174,1520,5,24,33,-1,-1,33
940,3155,1397,5,22,29,-1,-1,29
950,3169,1295,6,19,28,-1,-1,28
960,3159,1263,10,19,64,-1,-1,64
970,3116,1962,8,33,45,-1,-1,46
980,3092,1752,4,29,37,-1,-1,38
990,3097,1551,5,25,33,-1,-1,33
1000,3084,1422,3,21,77,-1,-1,77
1010,3104,1322,5,20,28,-1,-1,28
1020,3094,1286,8,20,64,-1,-1,64
1030,3070,2020,5,35,43,-1,-1,43
1040,3046,1791,5,30,39,-1,-1,39
1050,3044,1574,8,25,35,-1,-1,36
1060,3064,1432,5,23,30,-1,-1,31
1070,3044,1324,5,20,27,-1,-1,27
1080,3049,1288,9,19,64,-1,-1,64
1090,2998,2029,6,35,45,-1,-1,45
1100,2940,1818,2,31,87,-1,-1,88
1110,2932,1583,5,25,33,-1,-1,33
1120,2928,1450,6,22,31,-1,-1,32
1130,2893,1348,4,21,26,-1,-1,26
1140,2909,1326,9,20,65,-1,-1,65
1150,2831,2038,6,35,45,-1,-1,45
1160,2830,1817,5,30,38,-1,-1,38
