sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,3,0,53,-1,-1,53
10,4826,4972,3,98,109,-1,-1,110
20,4662,3175,2,53,63,-1,-1,63
30,4661,2047,4,30,40,-1,-1,40
40,4667,1614,3,23,29,-1,-1,29
50,4730,1320,3,18,23,-1,-1,23
60,4826,1294,3,18,64,-1,-1,64
70,4879,1968,3,31,38,-1,-1,38
80,4934,1600,3,24,32,-1,-1,32
90,5015,1422,2,21,27,-1,-1,27
100,5101,1331,7,20,87,-1,-1,87
110,5181,1250,1,18,22,-1,-1,22
120,5257,1227,1,17,64,-1,-1,64
130,5294,2013,3,33,40,-1,-1,40
140,5411,1614,4,25,33,-1,-1,33
150,5464,1458,4,23,29,-1,-1,30
160,5552,1347,4,20,27,-1,-1,27
170,5641,1269,3,19,25,-1,-1,25
180,5683,1243,3,19,69,-1,-1,69
190,5712,2131,3,36,44,-1,-1,44
200,5792,1736,12,30,101,-1,-1,101
210,5896,1538,4,25,32,-1,-1,32
220,5944,1413,4,23,30,-1,-1,30
230,6023,1344,3,21,27,-1,-1,27
240,6111,1322,5,21,73,-1,-1,73
250,6148,2238,6,40,51,-1,-1,51
260,6193,1827,5,31,42,-1,-1,42
270,6258,1652,5,28,37,-1,-1,37
280,6298,1537,6,25,36,-1,-1,36
290,6326,1465,4,25,32,-1,-1,32
300,6385,1435,8,23,141,-1,-1,141
310,6398,2407,6,43,56,-1,-1,56
320,6481,1994,4,35,45,-1,-1,45
330,6580,1796,4,31,40,-1,-1,40
340,6637,1681,4,28,38,-1,-1,38
350,6689,1585,6,27,36,-1,-1,36
360,6701,1561,5,26,87,-1,-1,87
370,6683,2622,4,50,61,-1,-1,61
380,6727,2182,5,40,51,-1,-1,51
390,6778,1946,4,35,45,-1,-1,45
400,6859,1815,8,33,103,-1,-1,103
410,6919,1735,4,30,39,-1,-1,39
420,6969,1698,4,30,94,-1,-1,94
430,6939,2851,5,56,68,-1,-1,69
440,6965,2390,3,45,55,-1,-1,55
450,6989,2148,6,39,52,-1,-1,52
460,7004,2011,4,36,47,-1,-1,47
470,7018,1908,2,35,41,-1,-1,42
480,7024,1879,3,34,103,-1,-1,103
490,6983,3107,5,63,76,-1,-1,76
500,6928,2613,8,51,120,-1,-1,121
510,6879,2334,4,44,55,-1,-1,55
520,6811,2195,4,41,51,-1,-1,51
530,6771,2086,4,38,48,-1,-1,48
540,6768,2042,4,37,109,-1,-1,109
550,6679,3300,4,68,82,-1,-1,82
560,6639,2767,4,54,66,-1,-1,67
570,6556,2497,5,48,60,-1,-1,60
580,6524,2358,3,44,54,-1,-1,54
590,6503,2237,4,42,53,-1,-1,53
600,6492,2178,9,40,179,-1,-1,179
610,6381,3500,5,72,87,-1,-1,87
620,6290,2984,3,58,70,-1,-1,70
630,6263,2701,4,52,63,-1,-1,63
640,6190,2539,3,48,58,-1,-1,58
650,6145,2380,3,45,53,-1,-1,54
660,6073,2310,4,43,120,-1,-1,120
670,5977,3712,6,77,93,-1,-1,93
680,5920,3169,4,63,76,-1,-1,76
690,5867,2836,2,55,64,-1,-1,64
700,5800,2654,7,50,122,-1,-1,122
710,5716,2509,4,47,57,-1,-1,57
720,5644,2456,3,45,125,-1,-1,125
730,5372,3943,3,82,95,-1,-1,95
740,5258,3383,3,67,80,-1,-1,80
750,5163,3010,4,57,69,-1,-1,69
760,5092,2825,3,53,62,-1,-1,62
770,5005,2651,4,48,58,-1,-1,58
780,4963,2606,3,47,129,-1,-1,130
790,4835,4089,4,85,99,-1,-1,99
800,4736,3472,5,68,138,-1,-1,138
810,4690,3131,4,59,71,-1,-1,71
820,4607,2910,7,53,67,-1,-1,67
830,4582,2751,3,50,59,-1,-1,59
840,4511,2692,2,48,132,-1,-1,133
850,4398,4226,2,87,100,-1,-1,100
860,4343,3564,6,70,85,-1,-1,85
870,4302,3205,5,60,73,-1,-1,73
880,4304,2989,3,55,65,-1,-1,65
890,4279,2817,3,51,61,-1,-1,61
900,4211,2749,3,49,196,-1,-1,196
910,4089,4290,4,88,102,-1,-1,102
920,4053,3660,5,70,85,-1,-1,85
930,4002,3260,3,61,72,-1,-1,72
940,4002,3015,6,54,66,-1,-1,66
950,3977,2828,3,50,60,-1,-1,61
960,3966,2766,2,48,133,-1,-1,134
970,3870,4332,3,89,102,-1,-1,102
980,3874,3684,3,71,83,-1,-1,84
990,3831,3286,5,61,75,-1,-1,75
1000,3795,3025,7,54,129,-1,-1,129
1010,3817,2856,6,51,62,-1,-1,62
1020,3817,2792,5,49,135,-1,-1,135
1030,3804,4350,3,88,103,-1,-1,103
1040,3791,3729,4,71,86,-1,-1,86
1050,3784,3322,6,62,76,-1,-1,76
1060,3771,3094,5,56,68,-1,-1,68
1070,3796,2891,5,52,62,-1,-1,62
1080,3770,2828,5,49,134,-1,-1,134
1090,3740,4356,2,90,103,-1,-1,103
1100,3764,3730,4,72,142,-1,-1,142
1110,3784,3339,4,62,75,-1,-1,75
1120,3787,3095,7,55,69,-1,-1,69
1130,3809,2894,5,51,63,-1,-1,63
1140,3787,2828,5,50,134,-1,-1,134
1150,3710,4347,3,88,103,-1,-1,103
1160,3729,3740,5,72,87,-1,-1,87
1170,3753,3354,4,62,76,-1,-1,76
1180,3702,3114,3,57,69,-1,-1,69
1190,3673,2927,4,52,63,-1,-1,63
1200,3679,2863,2,50,197,-1,-1,197
1210,3610,4408,1,89,102,-1,-1,102
1220,3579,3806,2,73,85,-1,-1,85
1230,3566,3430,2,64,75,-1,-1,75
1240,3559,3189,2,58,68,-1,-1,68
1250,3554,2989,2,53,61,-1,-1,61
1260,3508,2922,3,52,134,-1,-1,134
1270,3465,4450,2,91,103,-1,-1,104
1280,3458,3824,2,73,86,-1,-1,86
1290,3463,3441,2,63,74,-1,-1,74
1300,3500,3202,4,57,131,-1,-1,132
1310,3495,3000,2,53,61,-1,-1,61
1320,3490,2904,2,51,132,-1,-1,132
1330,3420,4405,3,89,103,-1,-1,103
1340,3394,3779,1,72,83,-1,-1,83
1350,3426,3377,2,61,73,-1,-1,73
1360,3388,3179,1,59,67,-1,-1,67
1370,3379,2994,2,53,61,-1,-1,61
1380,3382,2926,2,52,132,-1,-1,132
1390,3324,4442,3,91,106,-1,-1,106
1400,3369,3815,5,75,146,-1,-1,146
1410,3382,3416,2,63,74,-1,-1,74
1420,3372,3201,1,58,67,-1,-1,67
1430,3395,2994,2,53,63,-1,-1,63
1440,3372,2896,5,51,133,-1,-1,133
1450,3335,4378,2,89,102,-1,-1,102
1460,3299,3778,2,72,84,-1,-1,84
1470,3277,3424,2,63,74,-1,-1,74
1480,3269,3191,2,58,66,-1,-1,66
1490,3284,3007,2,53,62,-1,-1,62
1500,3320,2892,6,51,198,-1,-1,198
1510,3265,4346,3,87,102,-1,-1,102
1520,3278,3745,5,71,86,-1,-1,86
1530,3287,3424,1,64,74,-1,-1,74
1540,3242,3177,2,59,68,-1,-1,68
1550,3231,3007,3,53,64,-1,-1,64
1560,3212,2903,5,51,130,-1,-1,130
1570,3171,4332,3,87,102,-1,-1,102
1580,3122,3747,4,71,86,-1,-1,86
1590,3121,3400,2,63,75,-1,-1,75
1600,3101,3167,6,57,132,-1,-1,132
1610,3101,2996,3,53,61,-1,-1,61
1620,3099,2904,5,51,129,-1,-1,129
1630,3093,4311,4,85,101,-1,-1,101
1640,3038,3737,3,70,83,-1,-1,83
1650,3000,3432,2,62,73,-1,-1,73
1660,2989,3209,2,57,67,-1,-1,67
1670,2965,3021,4,52,63,-1,-1,63
1680,2963,2929,5,51,128,-1,-1,128
1690,2901,4342,2,86,100,-1,-1,100
1700,2846,3756,1,70,138,-1,-1,138
1710,2855,3449,3,62,73,-1,-1,73
1720,2854,3251,2,58,67,-1,-1,67
1730,2859,3076,2,54,62,-1,-1,62
1740,2861,2980,2,51,125,-1,-1,125
1750,2838,4366,2,86,99,-1,-1,99
1760,2812,3815,2,71,83,-1,-1,83
1770,2807,3492,2,63,73,-1,-1,73
1780,2764,3285,1,58,68,-1,-1,68
1790,2785,3124,2,54,63,-1,-1,63
1800,2757,3003,2,52,188,-1,-1,188
1810,2714,4375,1,86,99,-1,-1,99
1820,2717,3815,2,71,82,-1,-1,82
1830,2767,3502,2,63,74,-1,-1,74
1840,2714,3286,1,58,67,-1,-1,67
1850,2693,3091,2,53,63,-1,-1,63
1860,2712,3009,2,51,124,-1,-1,124
1870,2690,4388,3,86,100,-1,-1,100
1880,2693,3803,2,70,82,-1,-1,82
1890,2721,3486,2,63,73,-1,-1,73
1900,2714,3279,5,59,133,-1,-1,133
1910,2717,3117,2,54,63,-1,-1,63
1920,2680,3002,2,52,123,-1,-1,123
1930,2651,4319,3,85,98,-1,-1,98
1940,2663,3762,3,70,82,-1,-1,83
1950,2699,3430,4,62,74,-1,-1,74
1960,2668,3232,4,57,68,-1,-1,68
1970,2691,3075,4,53,64,-1,-1,64
1980,2696,2980,2,51,119,-1,-1,119
1990,2690,4245,2,82,96,-1,-1,96
2000,2680,3734,11,70,149,-1,-1,149
2010,2679,3449,3,62,73,-1,-1,73
2020,2709,3235,3,57,68,-1,-1,68
2030,2761,3048,2,53,61,-1,-1,61
2040,2757,2945,2,51,118,-1,-1,118
2050,2682,4199,3,81,94,-1,-1,94
2060,2727,3679,5,68,82,-1,-1,83
2070,2721,3391,4,61,74,-1,-1,74
2080,2733,3175,4,56,67,-1,-1,67
2090,2715,2995,5,51,62,-1,-1,63
2100,2689,2885,13,49,190,-1,-1,190
2110,2637,4166,2,80,93,-1,-1,93
2120,2617,3706,2,68,80,-1,-1,80
2130,2601,3417,2,62,72,-1,-1,72
2140,2613,3208,5,56,67,-1,-1,68
2150,2633,3040,2,52,61,-1,-1,61
2160,2626,2942,2,50,118,-1,-1,118
2170,2561,4176,2,79,93,-1,-1,93
2180,2555,3718,2,69,79,-1,-1,79
2190,2583,3417,4,60,73,-1,-1,73
2200,2577,3222,8,56,134,-1,-1,134
2210,2602,3069,3,52,62,-1,-1,63
2220,2650,2956,2,50,116,-1,-1,116
2230,2620,4184,1,79,92,-1,-1,92
2240,2626,3693,2,67,79,-1,-1,79
2250,2590,3399,5,60,73,-1,-1,73
2260,2566,3214,4,56,67,-1,-1,68
2270,2596,3044,4,53,63,-1,-1,63
2280,2582,2934,2,50,115,-1,-1,115
2290,2571,4180,2,79,94,-1,-1,94
2300,2539,3711,15,69,166,-1,-1,166
2310,2513,3416,4,61,73,-1,-1,73
2320,2488,3240,4,56,67,-1,-1,67
2330,2498,3070,3,52,62,-1,-1,62
2340,2520,2952,2,50,114,-1,-1,114
2350,2472,4203,2,79,94,-1,-1,94
2360,2483,3748,3,69,81,-1,-1,81
2370,2487,3455,5,62,75,-1,-1,75
2380,2478,3289,2,58,67,-1,-1,68
2390,2485,3122,4,53,64,-1,-1,64
2400,2468,2996,3,51,179,-1,-1,179
2410,2416,4204,2,79,94,-1,-1,94
2420,2425,3739,4,69,82,-1,-1,82
2430,2395,3416,5,60,73,-1,-1,73
2440,2397,3280,3,57,68,-1,-1,68
2450,2383,3063,4,52,62,-1,-1,62
2460,2419,2943,2,49,113,-1,-1,113
2470,2396,4162,2,79,93,-1,-1,93
2480,2470,3725,2,68,80,-1,-1,80
2490,2431,3433,4,61,73,-1,-1,73
2500,2416,3264,3,56,129,-1,-1,129
2510,2452,3067,3,53,61,-1,-1,61
2520,2471,2931,3,49,111,-1,-1,111
2530,2432,4109,2,77,92,-1,-1,92
2540,2440,3681,2,66,78,-1,-1,78
2550,2450,3413,3,60,72,-1,-1,72
2560,2464,3224,3,56,66,-1,-1,66
2570,2514,2998,4,51,61,-1,-1,61
2580,2508,2904,2,49,110,-1,-1,110
2590,2458,4072,2,76,90,-1,-1,90
2600,2485,3633,16,67,151,-1,-1,151
2610,2467,3379,5,60,73,-1,-1,73
2620,2459,3224,4,56,67,-1,-1,67
2630,2497,3025,3,51,61,-1,-1,61
2640,2527,2915,5,49,111,-1,-1,111
2650,2488,4062,2,76,90,-1,-1,90
2660,2477,3640,4,66,79,-1,-1,79
2670,2494,3378,7,59,74,-1,-1,74
2680,2540,3204,5,55,67,-1,-1,67
2690,2542,3023,4,52,62,-1,-1,63
2700,2532,2919,6,49,175,-1,-1,175
2710,2522,4075,1,76,90,-1,-1,90
