sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,40,0,69,-1,-1,93
10,2411,2500,25,39,67,-1,-1,68
20,2365,1600,15,21,39,-1,-1,39
30,2389,1020,11,13,26,-1,-1,26
40,2409,813,7,10,19,-1,-1,19
50,2445,667,4,8,13,-1,-1,13
60,2496,652,10,9,39,-1,-1,39
70,2521,993,7,13,21,-1,-1,22
80,2557,801,5,11,18,-1,-1,18
90,2607,713,5,10,15,-1,-1,15
100,2646,665,9,8,67,-1,-1,67
110,2693,634,6,8,16,-1,-1,16
120,2758,627,9,9,40,-1,-1,40
130,2797,1032,9,14,24,-1,-1,24
140,2868,815,8,11,21,-1,-1,21
150,2902,737,7,10,18,-1,-1,18
160,2962,684,5,9,16,-1,-1,16
170,3024,648,6,8,17,-1,-1,17
180,3064,628,14,8,45,-1,-1,45
190,3091,1053,12,15,28,-1,-1,28
200,3137,863,10,12,66,-1,-1,66
210,3194,775,8,10,21,-1,-1,21
220,3211,708,7,10,18,-1,-1,18
230,3265,676,7,9,18,-1,-1,18
240,3346,661,16,9,49,-1,-1,50
250,3364,1117,13,16,31,-1,-1,31
260,3427,908,10,13,26,-1,-1,26
270,3446,826,8,12,22,-1,-1,22
280,3481,781,9,11,21,-1,-1,21
290,3489,752,7,11,20,-1,-1,20
300,3490,732,19,11,101,-1,-1,101
310,3495,1215,15,19,36,-1,-1,36
320,3530,1000,11,15,28,-1,-1,28
330,3556,901,11,13,27,-1,-1,27
340,3562,840,9,12,23,-1,-1,23
350,3579,806,9,11,22,-1,-1,22
360,3572,790,19,12,59,-1,-1,59
370,3522,1341,16,22,39,-1,-1,40
380,3536,1124,12,18,32,-1,-1,32
390,3542,1002,10,15,28,-1,-1,28
400,3538,927,11,13,71,-1,-1,71
410,3546,897,10,14,24,-1,-1,24
420,3584,879,20,14,64,-1,-1,64
430,3564,1473,17,24,44,-1,-1,44
440,3551,1224,13,19,34,-1,-1,34
450,3564,1100,11,17,31,-1,-1,31
460,3555,1015,10,16,29,-1,-1,29
470,3580,969,10,14,26,-1,-1,26
480,3597,954,18,15,66,-1,-1,66
490,3554,1583,15,27,45,-1,-1,45
500,3497,1343,14,21,75,-1,-1,75
510,3482,1190,13,18,34,-1,-1,34
520,3454,1124,9,18,29,-1,-1,29
530,3437,1076,10,16,29,-1,-1,29
540,3425,1049,20,16,71,-1,-1,71
550,3348,1679,16,28,48,-1,-1,48
560,3320,1424,16,23,42,-1,-1,42
570,3296,1286,12,21,35,-1,-1,35
580,3308,1219,11,19,33,-1,-1,33
590,3309,1168,11,19,32,-1,-1,32
600,3319,1146,22,18,120,-1,-1,120
610,3269,1839,19,32,54,-1,-1,54
620,3225,1565,14,27,43,-1,-1,43
630,3202,1410,13,23,38,-1,-1,38
640,3134,1304,11,21,34,-1,-1,34
650,3121,1234,10,19,31,-1,-1,31
660,3062,1213,23,19,79,-1,-1,79
670,2998,1940,18,34,56,-1,-1,56
680,2983,1660,16,28,47,-1,-1,47
690,2968,1499,12,25,39,-1,-1,39
700,2906,1404,12,21,80,-1,-1,80
710,2865,1332,12,21,36,-1,-1,36
720,2843,1298,22,20,80,-1,-1,80
730,2729,2031,22,36,61,-1,-1,62
740,2673,1739,16,29,48,-1,-1,49
750,2647,1550,14,25,42,-1,-1,42
760,2608,1438,11,23,36,-1,-1,36
770,2579,1346,11,21,34,-1,-1,34
780,2519,1320,24,20,83,-1,-1,83
790,2459,2064,22,36,62,-1,-1,62
800,2413,1773,17,29,83,-1,-1,83
