sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,5,0,51,-1,-1,54
10,2362,2578,5,38,48,-1,-1,48
20,2306,1626,1,21,26,-1,-1,28
30,2349,1034,2,12,16,-1,-1,16
40,2371,792,2,9,13,-1,-1,14
50,2372,618,3,7,10,-1,-1,11
60,2443,606,4,7,31,-1,-1,32
70,2449,934,4,12,16,-1,-1,17
80,2510,765,2,9,14,-1,-1,14
90,2516,685,2,9,12,-1,-1,13
100,2548,646,2,7,62,-1,-1,63
110,2603,614,1,7,10,-1,-1,10
120,2665,601,3,7,31,-1,-1,32
130,2711,1000,2,13,16,-1,-1,18
140,2759,833,2,11,14,-1,-1,15
150,2821,747,1,9,12,-1,-1,12
160,2853,698,2,9,11,-1,-1,12
170,2905,657,0,8,11,-1,-1,12
180,2925,641,1,8,32,-1,-1,33
190,2966,1070,1,15,18,-1,-1,19
200,3026,876,2,11,64,-1,-1,65
210,3079,773,1,10,12,-1,-1,14
220,3115,730,1,9,12,-1,-1,13
230,3131,677,1,9,11,-1,-1,13
240,3173,669,1,9,34,-1,-1,36
250,3197,1144,0,17,20,-1,-1,23
260,3240,936,2,13,17,-1,-1,18
270,3275,823,3,11,15,-1,-1,16
280,3329,775,2,11,15,-1,-1,15
290,3364,728,3,10,13,-1,-1,14
300,3372,716,2,9,86,-1,-1,88
310,3345,1202,3,17,22,-1,-1,24
320,3362,994,4,14,20,-1,-1,21
330,3376,873,3,12,17,-1,-1,17
340,3373,830,3,12,16,-1,-1,17
350,3397,786,3,11,15,-1,-1,16
360,3425,771,3,11,41,-1,-1,42
370,3420,1322,3,20,26,-1,-1,27
380,3409,1075,3,16,21,-1,-1,22
390,3441,964,2,14,17,-1,-1,18
400,3480,895,3,12,67,-1,-1,68
410,3493,848,2,12,17,-1,-1,18
420,3502,843,6,12,45,-1,-1,46
430,3494,1420,3,22,28,-1,-1,28
440,3505,1176,6,18,26,-1,-1,26
450,3483,1038,5,15,23,-1,-1,24
460,3477,962,5,13,21,-1,-1,21
470,3455,923,5,14,20,-1,-1,20
480,3465,909,6,14,50,-1,-1,51
490,3417,1519,5,25,32,-1,-1,33
500,3385,1264,3,20,75,-1,-1,76
510,3358,1133,4,17,24,-1,-1,24
520,3358,1081,4,16,23,-1,-1,23
530,3358,1028,4,15,20,-1,-1,22
540,3344,1026,3,16,50,-1,-1,51
550,3286,1676,4,28,35,-1,-1,36
560,3247,1413,3,23,28,-1,-1,29
570,3238,1254,4,19,26,-1,-1,26
580,3227,1177,4,18,25,-1,-1,25
590,3173,1120,4,16,22,-1,-1,22
600,3171,1098,1,16,101,-1,-1,102
610,3126,1745,2,29,35,-1,-1,38
620,3130,1476,4,23,30,-1,-1,31
630,3116,1294,5,20,28,-1,-1,28
640,3115,1212,5,18,25,-1,-1,25
650,3143,1162,3,17,22,-1,-1,23
660,3144,1131,5,17,56,-1,-1,56
670,3134,1804,4,30,39,-1,-1,41
680,3119,1493,5,24,31,-1,-1,33
690,3089,1329,5,20,29,-1,-1,29
700,3064,1239,4,18,76,-1,-1,78
710,3066,1184,5,17,24,-1,-1,25
720,3057,1163,7,17,58,-1,-1,59
730,2940,1867,4,32,39,-1,-1,44
740,2894,1564,5,25,33,-1,-1,35
750,2859,1420,7,22,32,-1,-1,32
760,2816,1336,7,20,29,-1,-1,29
770,2781,1253,5,19,26,-1,-1,26
780,2770,1234,5,18,59,-1,-1,61
790,2700,1966,5,33,42,-1,-1,44
800,2675,1642,5,26,84,-1,-1,85
810,2632,1451,7,22,31,-1,-1,31
820,2583,1369,6,21,30,-1,-1,30
830,2532,1286,6,19,27,-1,-1,27
840,2490,1268,6,18,61,-1,-1,62
850,2418,2013,6,33,42,-1,-1,43
860,2414,1682,8,26,37,-1,-1,37
870,2386,1487,8,23,33,-1,-1,33
880,2370,1406,6,20,30,-1,-1,31
890,2331,1345,5,20,26,-1,-1,26
900,2300,1321,4,19,111,-1,-1,111
910,2255,2065,4,34,43,-1,-1,43
920,2220,1742,7,28,37,-1,-1,38
930,2226,1537,7,24,33,-1,-1,34
940,2220,1446,6,22,31,-1,-1,31
950,2212,1383,6,20,28,-1,-1,28
960,2199,1363,7,20,63,-1,-1,63
970,2162,2112,5,36,45,-1,-1,45
980,2158,1775,6,28,37,-1,-1,38
990,2123,1559,7,24,33,-1,-1,34
1000,2104,1470,4,21,77,-1,-1,77
1010,2069,1422,5,21,28,-1,-1,28
1020,2054,1397,7,20,65,-1,-1,65
1030,2005,2132,5,35,44,-1,-1,44
1040,1996,1808,8,29,39,-1,-1,39
1050,2024,1588,9,24,36,-1,-1,36
1060,2001,1479,5,21,30,-1,-1,31
1070,1976,1424,4,21,26,-1,-1,26
1080,1998,1394,8,20,65,-1,-1,65
1090,1921,2113,8,34,46,-1,-1,46
1100,1919,1802,6,28,87,-1,-1,88
1110,1901,1589,7,24,34,-1,-1,34
