sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,6,0,54,-1,-1,58
10,3126,3392,1,57,66,-1,-1,67
20,3073,2120,3,31,38,-1,-1,39
30,3114,1372,1,18,22,-1,-1,25
40,3157,1055,1,13,17,-1,-1,18
50,3149,846,2,11,14,-1,-1,15
60,3211,823,2,10,41,-1,-1,42
70,3238,1260,2,17,21,-1,-1,23
80,3355,1042,1,15,17,-1,-1,18
90,3367,909,2,12,15,-1,-1,16
100,3443,852,4,11,72,-1,-1,72
110,3497,806,2,11,14,-1,-1,16
120,3544,791,4,10,42,-1,-1,44
130,3602,1311,2,19,23,-1,-1,24
140,3694,1079,4,14,20,-1,-1,22
150,3771,957,4,13,18,-1,-1,19
160,3830,883,3,11,16,-1,-1,17
170,3912,841,3,12,15,-1,-1,16
180,3955,815,5,11,45,-1,-1,45
190,4015,1388,3,21,27,-1,-1,28
200,4072,1170,3,17,75,-1,-1,77
210,4147,1033,2,15,19,-1,-1,21
220,4192,964,3,13,19,-1,-1,20
230,4209,913,2,13,17,-1,-1,19
240,4260,892,4,13,48,-1,-1,49
250,4267,1496,3,25,31,-1,-1,33
260,4328,1261,3,19,25,-1,-1,27
270,4376,1124,2,17,22,-1,-1,23
280,4443,1056,2,15,20,-1,-1,21
290,4491,990,2,15,19,-1,-1,20
300,4486,964,7,14,108,-1,-1,110
310,4447,1617,3,26,33,-1,-1,33
320,4461,1351,2,21,26,-1,-1,28
330,4473,1201,3,19,25,-1,-1,25
340,4472,1122,3,18,21,-1,-1,23
350,4500,1060,3,16,21,-1,-1,23
360,4499,1033,6,16,58,-1,-1,59
370,4473,1757,3,29,37,-1,-1,38
380,4469,1481,4,24,31,-1,-1,32
390,4466,1324,4,21,28,-1,-1,30
400,4507,1211,7,19,82,-1,-1,83
410,4519,1166,4,18,26,-1,-1,27
420,4519,1151,7,18,63,-1,-1,64
430,4505,1937,4,34,43,-1,-1,43
440,4476,1636,3,27,35,-1,-1,35
450,4455,1461,3,24,31,-1,-1,32
460,4424,1360,4,22,29,-1,-1,30
470,4370,1299,4,20,26,-1,-1,28
480,4369,1285,2,20,65,-1,-1,67
490,4305,2120,4,38,47,-1,-1,48
500,4283,1811,5,31,92,-1,-1,92
510,4290,1605,4,26,34,-1,-1,36
520,4296,1496,2,24,30,-1,-1,32
530,4314,1432,2,23,28,-1,-1,28
540,4316,1402,1,23,69,-1,-1,70
550,4250,2265,4,41,51,-1,-1,51
560,4207,1928,4,33,42,-1,-1,42
570,4157,1734,2,30,36,-1,-1,37
580,4139,1625,3,26,33,-1,-1,34
590,4095,1543,2,25,31,-1,-1,32
600,4045,1508,5,25,132,-1,-1,133
610,3995,2463,2,45,54,-1,-1,55
620,3989,2082,4,37,46,-1,-1,46
630,3987,1856,4,32,40,-1,-1,41
640,4006,1711,5,29,37,-1,-1,38
650,3999,1626,3,27,34,-1,-1,35
660,4003,1592,3,27,78,-1,-1,79
670,3931,2588,3,49,57,-1,-1,59
680,3916,2195,4,40,48,-1,-1,49
690,3910,1968,4,35,42,-1,-1,44
700,3855,1820,6,31,94,-1,-1,95
710,3859,1732,2,29,35,-1,-1,36
720,3845,1687,2,28,81,-1,-1,81
730,3672,2704,1,51,58,-1,-1,59
740,3647,2290,3,42,50,-1,-1,52
750,3601,2037,4,35,43,-1,-1,44
760,3570,1892,3,32,39,-1,-1,40
770,3531,1823,2,31,36,-1,-1,37
780,3500,1765,2,29,84,-1,-1,86
790,3433,2784,2,53,62,-1,-1,63
800,3390,2394,5,43,106,-1,-1,107
810,3350,2120,2,37,43,-1,-1,45
820,3338,1974,2,34,39,-1,-1,39
830,3319,1875,4,31,38,-1,-1,39
840,3267,1816,3,30,85,-1,-1,86
850,3193,2819,3,54,62,-1,-1,63
860,3164,2420,4,44,53,-1,-1,54
870,3169,2144,4,37,46,-1,-1,47
880,3192,1978,4,33,41,-1,-1,43
890,3160,1883,3,31,37,-1,-1,38
900,3168,1831,6,29,146,-1,-1,148
910,3113,2840,6,53,64,-1,-1,65
920,3056,2459,5,44,54,-1,-1,55
930,3034,2206,3,39,46,-1,-1,47
940,3029,2035,3,34,42,-1,-1,42
950,3020,1912,3,31,38,-1,-1,39
960,3023,1857,7,30,88,-1,-1,90
970,2965,2886,4,54,65,-1,-1,66
980,2942,2489,4,44,54,-1,-1,55
990,2926,2236,3,39,47,-1,-1,49
1000,2946,2094,3,35,100,-1,-1,101
1010,2916,1960,2,33,38,-1,-1,39
1020,2933,1894,5,31,89,-1,-1,90
1030,2815,2935,5,55,66,-1,-1,66
1040,2805,2536,5,45,57,-1,-1,58
1050,2844,2287,3,40,49,-1,-1,50
1060,2825,2095,3,35,43,-1,-1,45
1070,2840,1995,2,33,39,-1,-1,40
1080,2804,1923,8,32,91,-1,-1,92
1090,2761,2939,5,57,67,-1,-1,68
1100,2731,2560,5,46,112,-1,-1,113
1110,2690,2331,3,42,49,-1,-1,50
1120,2657,2144,3,37,43,-1,-1,44
1130,2647,2002,3,33,39,-1,-1,40
1140,2645,1932,7,32,91,-1,-1,92
1150,2595,2970,6,56,68,-1,-1,69
1160,2536,2598,5,46,56,-1,-1,57
1170,2523,2348,3,40,48,-1,-1,49
1180,2549,2167,2,37,43,-1,-1,45
1190,2553,2032,3,34,39,-1,-1,40
1200,2557,1969,5,32,150,-1,-1,151
1210,2561,3035,2,57,65,-1,-1,66
1220,2575,2651,2,48,55,-1,-1,56
1230,2550,2373,2,41,48,-1,-1,48
1240,2525,2194,1,37,43,-1,-1,44
1250,2483,2050,2,33,39,-1,-1,41
1260,2463,1976,5,32,89,-1,-1,90
1270,2432,3030,3,57,65,-1,-1,66
1280,2422,2639,1,48,55,-1,-1,56
1290,2402,2366,1,41,47,-1,-1,48
1300,2397,2205,1,37,104,-1,-1,105
1310,2400,2066,2,34,40,-1,-1,40
1320,2403,2003,2,32,89,-1,-1,90
1330,2359,3070,2,57,65,-1,-1,66
1340,2370,2702,2,48,56,-1,-1,56
1350,2394,2437,2,42,49,-1,-1,49
1360,2433,2242,1,37,44,-1,-1,45
1370,2391,2119,1,34,40,-1,-1,41
1380,2383,2038,2,33,87,-1,-1,89
1390,2369,3092,1,58,67,-1,-1,68
1400,2373,2707,1,49,114,-1,-1,114
1410,2368,2430,1,42,48,-1,-1,50
1420,2361,2252,2,38,44,-1,-1,45
