sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,6,1,51,-1,-1,57
10,1572,1670,22,21,45,-1,-1,45
20,1554,1063,12,12,26,-1,-1,26
30,1583,679,7,7,15,-1,-1,15
40,1614,519,6,6,12,-1,-1,13
50,1636,419,5,4,10,-1,-1,11
60,1637,409,13,4,31,-1,-1,32
70,1679,619,8,7,15,-1,-1,16
80,1743,501,5,6,12,-1,-1,13
90,1791,435,6,5,11,-1,-1,12
100,1827,406,8,4,61,-1,-1,63
110,1870,374,5,4,10,-1,-1,10
120,1875,368,13,4,30,-1,-1,32
130,1917,632,8,8,16,-1,-1,17
140,1974,513,7,6,13,-1,-1,14
150,2029,452,7,5,13,-1,-1,15
160,2056,427,5,5,10,-1,-1,11
170,2082,397,5,4,10,-1,-1,12
180,2102,385,12,5,31,-1,-1,31
190,2139,681,8,8,18,-1,-1,19
200,2186,563,9,6,65,-1,-1,66
210,2196,492,6,6,13,-1,-1,13
220,2216,461,6,5,12,-1,-1,13
230,2247,443,7,5,12,-1,-1,12
240,2268,434,11,5,33,-1,-1,33
250,2312,756,8,9,19,-1,-1,19
260,2333,623,8,8,16,-1,-1,17
270,2357,548,7,6,15,-1,-1,16
280,2395,509,7,6,14,-1,-1,15
290,2390,476,7,6,13,-1,-1,13
300,2413,468,15,6,88,-1,-1,89
310,2426,811,8,10,21,-1,-1,22
320,2473,662,9,9,18,-1,-1,20
330,2522,590,8,7,16,-1,-1,17
340,2536,544,7,6,15,-1,-1,15
350,2535,509,6,6,14,-1,-1,15
360,2580,504,12,7,37,-1,-1,38
370,2558,870,12,12,24,-1,-1,25
380,2561,751,9,10,20,-1,-1,20
390,2572,663,9,9,18,-1,-1,18
400,2582,602,10,8,67,-1,-1,67
410,2567,566,9,7,16,-1,-1,17
420,2568,553,13,7,40,-1,-1,40
430,2556,950,10,13,25,-1,-1,26
440,2566,803,7,11,20,-1,-1,22
450,2589,704,8,10,18,-1,-1,19
