sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,5,0,42,-1,-1,42
10,6323,6728,6,145,165,-1,-1,165
20,6148,4256,3,79,92,-1,-1,92
30,6162,2788,2,46,56,-1,-1,56
40,6177,2140,4,34,44,-1,-1,45
50,6185,1719,3,26,32,-1,-1,32
60,6254,1674,2,25,86,-1,-1,86
70,6336,2595,4,45,54,-1,-1,55
80,6446,2099,3,34,43,-1,-1,43
90,6548,1837,5,29,38,-1,-1,40
100,6625,1721,2,27,96,-1,-1,96
110,6679,1607,5,25,34,-1,-1,35
120,6731,1579,2,25,86,-1,-1,86
130,6812,2652,5,47,57,-1,-1,59
140,6960,2121,5,36,46,-1,-1,48
150,7116,1897,4,32,41,-1,-1,42
160,7213,1761,2,29,37,-1,-1,37
170,7280,1662,6,27,38,-1,-1,39
180,7387,1632,3,27,91,-1,-1,92
190,7434,2819,6,54,67,-1,-1,68
200,7555,2325,4,41,112,-1,-1,113
210,7668,2061,2,36,44,-1,-1,44
220,7762,1916,9,33,49,-1,-1,50
230,7861,1825,3,31,40,-1,-1,40
240,7902,1795,2,31,100,-1,-1,101
250,7957,3076,4,61,73,-1,-1,74
260,8057,2560,3,50,60,-1,-1,61
270,8165,2292,3,42,53,-1,-1,53
280,8238,2132,5,39,50,-1,-1,50
290,8292,2004,4,36,46,-1,-1,46
300,8344,1956,1,36,167,-1,-1,169
310,8304,3295,3,66,78,-1,-1,80
320,8417,2745,6,54,68,-1,-1,69
330,8455,2458,4,47,59,-1,-1,60
340,8522,2312,3,44,53,-1,-1,53
350,8452,2185,6,41,53,-1,-1,53
360,8499,2113,8,39,123,-1,-1,123
370,8482,3529,5,73,88,-1,-1,88
380,8535,2989,4,60,74,-1,-1,78
390,8609,2694,7,53,68,-1,-1,69
400,8640,2511,4,48,118,-1,-1,119
410,8650,2352,6,45,59,-1,-1,59
420,8643,2299,11,44,133,-1,-1,134
430,8598,3764,11,80,101,-1,-1,102
440,8626,3202,9,65,85,-1,-1,87
450,8632,2889,9,58,76,-1,-1,76
460,8642,2694,4,53,66,-1,-1,68
470,8605,2538,5,49,62,-1,-1,63
480,8621,2459,6,47,137,-1,-1,139
490,8550,4012,12,88,110,-1,-1,111
500,8541,3409,8,71,144,-1,-1,147
510,8597,3049,11,62,83,-1,-1,83
520,8580,2862,6,58,73,-1,-1,74
530,8582,2696,7,54,68,-1,-1,68
540,8596,2595,2,51,140,-1,-1,140
550,8543,4234,5,95,112,-1,-1,112
560,8534,3603,4,77,93,-1,-1,93
570,8538,3247,5,67,83,-1,-1,83
580,8521,3039,2,62,74,-1,-1,77
590,8448,2854,6,57,71,-1,-1,73
600,8462,2770,5,56,209,-1,-1,210
610,8347,4463,8,101,119,-1,-1,119
620,8375,3815,8,82,101,-1,-1,103
630,8383,3467,5,73,89,-1,-1,90
640,8372,3207,11,67,88,-1,-1,90
650,8390,3018,9,61,79,-1,-1,79
660,8410,2920,7,58,162,-1,-1,163
670,8302,4702,7,108,128,-1,-1,128
680,8240,4041,5,89,106,-1,-1,106
690,8205,3642,3,78,92,-1,-1,96
700,8114,3388,5,72,147,-1,-1,148
710,8051,3191,1,65,75,-1,-1,75
720,8034,3098,3,63,163,-1,-1,166
730,7725,4895,7,111,132,-1,-1,132
740,7635,4230,6,92,110,-1,-1,111
750,7540,3812,4,80,95,-1,-1,95
760,7468,3520,8,73,89,-1,-1,90
770,7429,3289,5,66,80,-1,-1,80
780,7342,3175,8,63,171,-1,-1,174
790,7221,5018,7,115,136,-1,-1,136
800,7169,4351,3,94,167,-1,-1,168
810,7143,3928,4,82,98,-1,-1,98
820,7129,3629,5,74,90,-1,-1,90
830,7054,3362,5,67,81,-1,-1,82
840,6985,3259,7,64,172,-1,-1,172
850,6899,5121,9,116,137,-1,-1,138
860,6888,4450,4,96,112,-1,-1,112
870,6841,4045,3,86,102,-1,-1,104
880,6763,3755,3,77,90,-1,-1,90
890,6703,3514,4,70,83,-1,-1,83
900,6666,3399,6,67,238,-1,-1,240
910,6508,5333,6,120,140,-1,-1,140
920,6463,4632,2,99,115,-1,-1,115
930,6436,4202,4,87,103,-1,-1,103
940,6447,3893,4,79,94,-1,-1,94
950,6464,3612,4,71,85,-1,-1,85
960,6438,3502,6,68,176,-1,-1,176
970,6390,5372,5,122,140,-1,-1,140
980,6310,4686,3,100,117,-1,-1,117
990,6299,4238,3,87,103,-1,-1,103
1000,6255,3890,6,78,157,-1,-1,157
1010,6207,3650,3,71,84,-1,-1,84
1020,6168,3552,6,69,175,-1,-1,175
1030,6040,5428,7,120,141,-1,-1,141
1040,5947,4735,3,100,117,-1,-1,117
1050,5912,4298,4,87,103,-1,-1,104
1060,5873,3924,3,78,91,-1,-1,91
1070,5875,3654,4,71,85,-1,-1,86
1080,5854,3545,7,68,174,-1,-1,174
1090,5796,5397,6,119,139,-1,-1,140
1100,5686,4725,3,100,173,-1,-1,175
1110,5711,4316,3,88,103,-1,-1,103
1120,5642,3992,1,79,91,-1,-1,91
1130,5652,3729,2,73,84,-1,-1,85
1140,5595,3643,9,70,179,-1,-1,179
1150,5527,5500,6,123,141,-1,-1,143
1160,5510,4831,3,102,119,-1,-1,119
1170,5498,4381,4,89,105,-1,-1,106
1180,5491,4041,3,80,95,-1,-1,95
1190,5471,3793,2,74,85,-1,-1,86
1200,5473,3663,12,71,244,-1,-1,244
1210,5384,5496,5,120,139,-1,-1,141
1220,5388,4806,3,101,118,-1,-1,118
1230,5415,4379,2,90,105,-1,-1,105
1240,5414,4034,4,81,96,-1,-1,96
1250,5413,3805,4,75,87,-1,-1,89
1260,5409,3660,10,70,178,-1,-1,181
1270,5390,5493,6,122,142,-1,-1,142
1280,5395,4817,3,102,119,-1,-1,121
1290,5346,4387,2,90,105,-1,-1,106
1300,5311,4034,7,79,159,-1,-1,160
