sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,6,0,40,-1,-1,40
10,3126,3392,4,59,68,-1,-1,68
20,3073,2120,4,32,39,-1,-1,39
30,3114,1372,5,18,25,-1,-1,25
40,3157,1055,3,13,19,-1,-1,19
50,3149,846,3,11,15,-1,-1,15
60,3211,823,3,11,40,-1,-1,41
70,3238,1260,2,18,22,-1,-1,22
80,3355,1042,2,15,18,-1,-1,18
90,3367,909,2,12,16,-1,-1,16
100,3443,852,4,11,64,-1,-1,64
110,3497,806,4,10,16,-1,-1,16
120,3543,791,3,11,41,-1,-1,41
130,3602,1311,3,19,24,-1,-1,24
140,3694,1079,4,15,21,-1,-1,21
150,3768,957,2,13,17,-1,-1,17
160,3829,883,2,13,16,-1,-1,16
170,3910,842,2,12,15,-1,-1,15
180,3957,816,4,11,44,-1,-1,44
190,4017,1390,4,21,27,-1,-1,27
200,4072,1172,4,17,66,-1,-1,66
210,4148,1034,4,15,21,-1,-1,21
220,4192,965,2,14,18,-1,-1,18
230,4208,914,3,13,18,-1,-1,18
240,4260,893,5,13,50,-1,-1,50
250,4265,1499,5,25,32,-1,-1,32
260,4327,1262,4,19,26,-1,-1,26
270,4377,1124,3,18,23,-1,-1,23
280,4450,1056,2,16,20,-1,-1,20
290,4495,991,3,15,19,-1,-1,19
300,4486,966,8,15,102,-1,-1,102
310,4449,1622,6,26,35,-1,-1,35
320,4463,1354,4,21,28,-1,-1,28
330,4471,1203,6,19,27,-1,-1,27
340,4463,1125,4,17,23,-1,-1,23
350,4483,1062,4,16,23,-1,-1,23
360,4472,1032,5,16,57,-1,-1,57
370,4444,1760,6,30,40,-1,-1,40
380,4442,1484,4,25,32,-1,-1,32
390,4430,1326,3,22,28,-1,-1,28
400,4471,1210,8,19,71,-1,-1,71
410,4482,1166,4,18,25,-1,-1,25
420,4482,1154,7,18,64,-1,-1,64
430,4465,1948,6,34,45,-1,-1,45
440,4427,1642,3,28,34,-1,-1,34
450,4392,1464,4,25,31,-1,-1,31
460,4365,1369,2,23,28,-1,-1,28
470,4313,1311,3,20,25,-1,-1,25
480,4310,1292,1,21,65,-1,-1,65
490,4234,2139,2,39,46,-1,-1,46
500,4216,1839,3,32,76,-1,-1,76
510,4226,1628,2,27,33,-1,-1,33
520,4217,1517,2,25,30,-1,-1,30
530,4228,1453,2,24,29,-1,-1,29
540,4225,1426,2,23,70,-1,-1,70
550,4167,2310,2,43,50,-1,-1,50
560,4113,1975,2,35,42,-1,-1,42
570,4059,1778,2,31,37,-1,-1,37
580,4038,1660,2,28,33,-1,-1,33
590,3994,1574,2,26,30,-1,-1,31
600,3947,1536,2,25,119,-1,-1,119
610,3906,2501,2,46,54,-1,-1,54
620,3902,2113,1,38,43,-1,-1,43
630,3898,1886,2,33,39,-1,-1,39
640,3916,1731,2,29,35,-1,-1,35
650,3926,1640,2,27,33,-1,-1,33
660,3928,1607,2,27,78,-1,-1,78
670,3857,2583,3,49,57,-1,-1,57
680,3854,2207,1,39,47,-1,-1,47
690,3852,1964,2,34,40,-1,-1,40
700,3799,1817,2,31,82,-1,-1,82
710,3796,1737,2,30,34,-1,-1,34
720,3753,1692,2,28,80,-1,-1,80
730,3584,2706,2,53,60,-1,-1,60
740,3553,2295,2,41,49,-1,-1,49
750,3511,2033,2,35,41,-1,-1,41
760,3474,1879,1,32,37,-1,-1,37
770,3436,1824,2,30,35,-1,-1,35
780,3420,1767,2,29,83,-1,-1,83
790,3388,2787,2,53,60,-1,-1,60
800,3346,2385,2,43,85,-1,-1,85
810,3282,2113,2,36,43,-1,-1,43
820,3276,1973,1,34,39,-1,-1,39
830,3235,1881,1,31,36,-1,-1,36
840,3205,1819,2,30,83,-1,-1,83
850,3146,2837,2,53,62,-1,-1,62
860,3120,2427,2,44,51,-1,-1,51
870,3128,2162,1,38,44,-1,-1,44
880,3141,1988,1,34,40,-1,-1,40
890,3126,1891,2,32,36,-1,-1,36
900,3119,1849,2,31,128,-1,-1,128
910,3073,2842,1,53,61,-1,-1,61
920,2999,2459,1,44,51,-1,-1,51
930,2979,2220,2,39,45,-1,-1,45
940,2964,2044,2,35,41,-1,-1,41
950,2965,1918,1,32,37,-1,-1,37
960,2945,1862,1,31,84,-1,-1,84
970,2902,2901,2,56,64,-1,-1,64
980,2872,2496,1,46,52,-1,-1,52
990,2865,2253,2,40,46,-1,-1,46
1000,2871,2090,2,36,80,-1,-1,80
1010,2862,1965,2,33,38,-1,-1,38
1020,2876,1908,2,32,85,-1,-1,85
1030,2740,2930,2,55,62,-1,-1,62
1040,2726,2552,2,46,53,-1,-1,53
1050,2757,2313,2,41,47,-1,-1,47
1060,2736,2119,1,36,41,-1,-1,41
1070,2733,2014,2,33,38,-1,-1,38
1080,2728,1940,1,32,86,-1,-1,86
1090,2686,2983,2,57,65,-1,-1,65
1100,2666,2597,2,47,89,-1,-1,89
1110,2637,2365,2,42,49,-1,-1,49
1120,2629,2185,2,37,43,-1,-1,43
1130,2645,2033,2,35,39,-1,-1,39
1140,2616,1950,2,32,86,-1,-1,86
1150,2577,2999,2,57,65,-1,-1,65
1160,2534,2611,2,47,55,-1,-1,55
1170,2538,2387,2,42,48,-1,-1,48
1180,2587,2217,1,38,44,-1,-1,44
1190,2558,2058,2,34,40,-1,-1,40
1200,2564,1999,1,33,127,-1,-1,127
1210,2547,3057,1,58,66,-1,-1,66
1220,2553,2690,1,49,57,-1,-1,57
1230,2503,2422,2,42,49,-1,-1,49
1240,2486,2266,2,38,45,-1,-1,45
1250,2464,2100,1,36,41,-1,-1,41
1260,2469,2018,2,33,86,-1,-1,86
1270,2445,3074,1,58,65,-1,-1,65
1280,2461,2697,2,48,55,-1,-1,56
1290,2432,2446,2,43,49,-1,-1,49
1300,2470,2283,1,39,82,-1,-1,82
1310,2434,2091,1,35,40,-1,-1,40
1320,2455,2011,2,33,84,-1,-1,84
1330,2429,3056,2,57,65,-1,-1,65
1340,2455,2703,1,49,56,-1,-1,56
1350,2453,2431,2,42,50,-1,-1,50
1360,2466,2243,2,38,44,-1,-1,44
1370,2441,2074,2,35,40,-1,-1,40
1380,2432,1997,2,33,84,-1,-1,85
1390,2401,3025,2,58,65,-1,-1,65
1400,2399,2656,2,48,87,-1,-1,87
1410,2383,2407,2,42,50,-1,-1,50
1420,2360,2262,1,38,45,-1,-1,45
1430,2361,2080,1,35,40,-1,-1,40
1440,2364,2001,2,33,84,-1,-1,84
1450,2314,3050,2,58,65,-1,-1,65
1460,2298,2717,1,49,55,-1,-1,55
1470,2243,2460,2,43,50,-1,-1,50
