sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,9,0,51,-1,-1,61
10,3142,3294,4,56,66,-1,-1,67
20,3081,2086,4,30,39,-1,-1,39
30,3110,1368,3,18,24,-1,-1,24
40,3136,1087,2,13,18,-1,-1,18
50,3157,887,1,11,14,-1,-1,14
60,3197,870,2,11,41,-1,-1,42
70,3254,1304,2,18,22,-1,-1,23
80,3281,1076,1,15,18,-1,-1,18
90,3351,951,1,13,17,-1,-1,17
100,3396,900,4,12,74,-1,-1,74
110,3463,844,1,11,15,-1,-1,15
120,3504,843,1,12,43,-1,-1,43
130,3512,1398,2,21,24,-1,-1,24
140,3552,1164,1,17,20,-1,-1,21
150,3581,1038,1,14,18,-1,-1,19
160,3595,969,2,13,17,-1,-1,18
170,3640,912,2,13,17,-1,-1,17
180,3710,903,2,13,46,-1,-1,47
190,3762,1480,1,23,28,-1,-1,28
200,3816,1231,4,18,77,-1,-1,78
210,3840,1096,2,16,21,-1,-1,21
220,3887,1034,2,15,19,-1,-1,19
230,3887,974,2,14,18,-1,-1,18
240,3922,964,2,15,49,-1,-1,50
250,3899,1598,2,26,32,-1,-1,32
260,3894,1355,2,21,26,-1,-1,26
270,3889,1216,2,18,23,-1,-1,24
280,3885,1133,2,17,21,-1,-1,21
290,3928,1080,2,16,20,-1,-1,20
300,3932,1064,5,15,109,-1,-1,111
310,3939,1734,1,28,33,-1,-1,33
320,3973,1440,2,23,28,-1,-1,28
330,4012,1293,2,20,25,-1,-1,26
340,4022,1230,2,19,24,-1,-1,24
350,4047,1175,2,18,23,-1,-1,23
360,4053,1138,5,18,59,-1,-1,59
370,4058,1802,4,30,38,-1,-1,39
380,4043,1508,3,25,31,-1,-1,31
390,4046,1337,4,21,29,-1,-1,29
400,4074,1273,2,20,82,-1,-1,82
410,4101,1216,3,19,25,-1,-1,26
420,4158,1177,8,19,64,-1,-1,64
430,4116,1889,7,32,43,-1,-1,43
440,4130,1605,5,26,35,-1,-1,35
450,4162,1417,5,23,31,-1,-1,32
460,4136,1335,4,21,28,-1,-1,28
470,4139,1292,3,20,26,-1,-1,27
480,4180,1268,8,20,66,-1,-1,68
490,4162,1994,7,36,46,-1,-1,47
500,4120,1704,6,29,93,-1,-1,94
510,4112,1521,6,25,35,-1,-1,35
520,4123,1470,4,24,32,-1,-1,32
530,4097,1428,3,23,29,-1,-1,29
540,4069,1389,6,23,70,-1,-1,71
550,4029,2182,6,39,50,-1,-1,51
560,3992,1865,6,32,42,-1,-1,42
570,3978,1669,3,29,36,-1,-1,37
580,3994,1593,5,26,35,-1,-1,35
590,3966,1551,4,25,33,-1,-1,33
600,3940,1484,6,24,133,-1,-1,133
610,3895,2305,7,42,53,-1,-1,54
620,3895,1922,9,33,46,-1,-1,46
630,3825,1748,6,29,39,-1,-1,39
640,3810,1676,6,27,38,-1,-1,38
650,3803,1631,3,27,33,-1,-1,34
660,3743,1579,9,26,79,-1,-1,79
670,3679,2424,8,44,58,-1,-1,58
680,3606,2063,10,35,50,-1,-1,51
690,3600,1859,8,31,43,-1,-1,44
700,3590,1794,7,30,96,-1,-1,96
710,3563,1722,4,28,36,-1,-1,36
720,3595,1666,9,27,81,-1,-1,81
730,3470,2485,10,45,60,-1,-1,60
740,3434,2098,9,36,50,-1,-1,52
750,3386,1911,7,32,43,-1,-1,44
760,3291,1843,6,30,40,-1,-1,41
770,3283,1751,5,28,36,-1,-1,37
780,3235,1685,12,27,83,-1,-1,85
790,3183,2535,10,46,61,-1,-1,62
800,3159,2145,11,36,106,-1,-1,107
810,3116,1946,7,33,44,-1,-1,44
820,3085,1833,7,29,40,-1,-1,40
830,3090,1743,7,28,39,-1,-1,39
840,3063,1697,13,27,85,-1,-1,86
850,2975,2596,11,46,63,-1,-1,63
860,2970,2207,10,37,53,-1,-1,53
870,2947,2002,8,34,47,-1,-1,47
880,2988,1900,6,31,41,-1,-1,42
890,2964,1793,6,28,38,-1,-1,38
900,2952,1742,13,28,146,-1,-1,147
910,2895,2659,11,48,65,-1,-1,65
920,2869,2212,12,38,55,-1,-1,55
930,2846,1982,9,33,46,-1,-1,47
940,2818,1898,7,31,42,-1,-1,42
950,2801,1808,5,29,38,-1,-1,39
960,2834,1741,14,27,89,-1,-1,89
970,2766,2648,12,48,65,-1,-1,66
980,2770,2205,12,38,54,-1,-1,55
990,2762,2010,9,34,47,-1,-1,47
1000,2732,1895,10,30,101,-1,-1,102
1010,2664,1798,7,28,39,-1,-1,39
1020,2659,1732,17,27,90,-1,-1,91
1030,2601,2631,14,47,67,-1,-1,68
1040,2552,2213,15,37,56,-1,-1,57
1050,2533,2010,12,32,48,-1,-1,48
1060,2490,1921,9,30,43,-1,-1,45
1070,2490,1809,7,29,40,-1,-1,41
1080,2492,1750,19,27,92,-1,-1,93
1090,2454,2673,15,48,68,-1,-1,69
1100,2448,2227,19,37,113,-1,-1,113
1110,2433,2009,12,33,49,-1,-1,50
1120,2444,1924,9,31,44,-1,-1,44
1130,2439,1838,8,30,39,-1,-1,39
1140,2425,1784,16,28,91,-1,-1,91
1150,2361,2722,14,49,68,-1,-1,69
1160,2365,2298,13,40,58,-1,-1,58
1170,2360,2109,10,35,49,-1,-1,49
1180,2328,2002,7,32,43,-1,-1,44
1190,2284,1892,5,30,39,-1,-1,40
1200,2309,1845,13,29,150,-1,-1,150
1210,2271,2777,11,49,65,-1,-1,66
1220,2248,2336,11,40,55,-1,-1,55
1230,2241,2112,10,34,48,-1,-1,49
1240,2235,2011,6,32,43,-1,-1,44
1250,2254,1897,6,30,40,-1,-1,41
1260,2244,1847,13,29,89,-1,-1,90
1270,2234,2796,10,50,65,-1,-1,66
1280,2244,2375,8,41,54,-1,-1,55
1290,2223,2169,9,36,49,-1,-1,49
1300,2202,2031,9,33,105,-1,-1,105
1310,2175,1919,6,30,39,-1,-1,39
1320,2152,1847,13,28,88,-1,-1,89
1330,2148,2784,10,49,66,-1,-1,66
1340,2129,2353,12,40,56,-1,-1,57
1350,2178,2149,10,35,49,-1,-1,50
1360,2161,2042,7,33,44,-1,-1,44
1370,2144,1902,7,30,41,-1,-1,41
1380,2140,1860,11,29,88,-1,-1,88
1390,2112,2800,11,49,67,-1,-1,68
1400,2123,2401,12,40,113,-1,-1,114
1410,2124,2180,9,36,49,-1,-1,49
1420,2107,2042,7,33,44,-1,-1,44
1430,2088,1928,7,31,41,-1,-1,41
1440,2083,1865,14,28,89,-1,-1,89
1450,2058,2771,13,49,67,-1,-1,67
1460,2032,2349,15,39,59,-1,-1,59
1470,1981,2116,13,34,51,-1,-1,52
1480,1993,1990,11,31,46,-1,-1,46
1490,1941,1877,10,29,42,-1,-1,42
1500,1959,1817,22,28,154,-1,-1,154
1510,1926,2714,15,47,67,-1,-1,68
1520,1947,2307,15,38,59,-1,-1,59
1530,1947,2079,13,33,50,-1,-1,51
1540,1953,1947,11,30,45,-1,-1,45
1550,1979,1872,8,29,40,-1,-1,40
1560,1970,1828,15,27,87,-1,-1,87
1570,1949,2714,14,47,66,-1,-1,67
1580,1963,2290,16,37,58,-1,-1,58
1590,1972,2099,14,33,51,-1,-1,52
1600,1960,2003,18,31,111,-1,-1,111
1610,1960,1880,10,29,41,-1,-1,41
1620,1960,1833,14,28,88,-1,-1,88
1630,1950,2738,14,47,66,-1,-1,67
1640,1965,2300,16,37,58,-1,-1,59
1650,1996,2103,13,33,50,-1,-1,51
1660,2036,1996,10,31,45,-1,-1,45
1670,2004,1888,7,29,40,-1,-1,40
1680,1995,1841,12,28,86,-1,-1,86
1690,1963,2764,12,49,66,-1,-1,67
1700,1979,2309,24,37,120,-1,-1,120
1710,1978,2113,10,33,48,-1,-1,49
1720,1974,1992,8,31,43,-1,-1,43
1730,1952,1899,8,29,39,-1,-1,40
1740,1920,1838,9,28,81,-1,-1,82
1750,1917,2746,9,48,63,-1,-1,63
1760,1911,2308,13,38,55,-1,-1,56
1770,1879,2114,11,34,49,-1,-1,49
1780,1865,2008,7,32,42,-1,-1,43
1790,1856,1898,7,29,39,-1,-1,39
1800,1868,1845,19,27,147,-1,-1,147
1810,1821,2753,11,47,64,-1,-1,64
1820,1788,2339,13,39,55,-1,-1,56
1830,1784,2140,11,34,49,-1,-1,49
1840,1788,2025,8,31,43,-1,-1,44
1850,1810,1908,7,29,39,-1,-1,39
1860,1832,1871,11,29,82,-1,-1,83
1870,1760,2769,10,48,64,-1,-1,64
1880,1805,2320,12,38,55,-1,-1,55
1890,1855,2131,10,34,48,-1,-1,49
1900,1858,2018,18,32,110,-1,-1,111
1910,1861,1913,7,29,39,-1,-1,40
1920,1885,1864,9,28,80,-1,-1,80
1930,1858,2733,9,47,61,-1,-1,62
1940,1871,2318,12,37,54,-1,-1,55
1950,1842,2136,10,34,48,-1,-1,49
1960,1850,2019,8,31,43,-1,-1,44
1970,1851,1907,6,29,39,-1,-1,39
1980,1844,1879,9,28,81,-1,-1,81
1990,1840,2726,7,48,60,-1,-1,60
2000,1831,2307,16,38,113,-1,-1,113
2010,1821,2150,8,34,48,-1,-1,48
2020,1807,2043,6,31,42,-1,-1,43
2030,1810,1918,5,30,38,-1,-1,38
2040,1770,1864,9,29,79,-1,-1,79
2050,1729,2735,10,47,62,-1,-1,63
2060,1759,2333,11,39,55,-1,-1,55
2070,1738,2182,9,35,48,-1,-1,49
2080,1743,2060,7,32,44,-1,-1,45
2090,1744,1935,6,30,40,-1,-1,40
2100,1778,1886,13,28,145,-1,-1,145
2110,1761,2752,8,47,62,-1,-1,62
2120,1752,2344,11,38,54,-1,-1,54
2130,1739,2173,10,35,49,-1,-1,49
2140,1758,2057,8,32,44,-1,-1,44
2150,1752,1921,6,30,39,-1,-1,39
2160,1757,1870,11,29,81,-1,-1,81
2170,1706,2713,8,47,61,-1,-1,62
2180,1696,2352,10,39,53,-1,-1,54
2190,1723,2201,7,35,47,-1,-1,48
2200,1727,2079,13,32,106,-1,-1,107
2210,1726,1967,4,30,39,-1,-1,39
2220,1749,1930,7,30,78,-1,-1,79
2230,1716,2787,6,48,60,-1,-1,60
2240,1680,2380,8,39,53,-1,-1,53
2250,1660,2200,7,35,47,-1,-1,47
2260,1667,2074,7,32,43,-1,-1,43
2270,1672,1952,5,29,37,-1,-1,38
2280,1667,1915,7,29,79,-1,-1,79
2290,1662,2784,6,48,60,-1,-1,60
2300,1676,2386,12,38,110,-1,-1,110
2310,1690,2195,6,35,46,-1,-1,46
2320,1695,2054,6,32,42,-1,-1,43
2330,1726,1917,4,29,37,-1,-1,37
2340,1727,1879,8,28,77,-1,-1,77
2350,1681,2742,5,46,58,-1,-1,59
2360,1673,2379,9,39,53,-1,-1,53
2370,1696,2177,8,35,47,-1,-1,47
2380,1696,2054,6,33,43,-1,-1,44
2390,1749,1919,6,29,39,-1,-1,40
2400,1715,1849,13,27,140,-1,-1,141
2410,1733,2670,7,45,58,-1,-1,59
2420,1724,2338,9,38,52,-1,-1,52
2430,1689,2131,10,34,48,-1,-1,48
2440,1671,1997,8,30,42,-1,-1,43
2450,1657,1863,7,28,38,-1,-1,38
2460,1703,1811,9,27,75,-1,-1,75
2470,1681,2643,8,45,58,-1,-1,59
2480,1694,2335,11,38,53,-1,-1,53
2490,1714,2140,9,34,47,-1,-1,48
2500,1688,2031,16,32,110,-1,-1,110
2510,1688,1898,7,29,39,-1,-1,39
2520,1713,1833,8,28,75,-1,-1,76
2530,1645,2653,8,45,59,-1,-1,59
2540,1626,2341,9,38,52,-1,-1,52
2550,1604,2142,9,34,47,-1,-1,47
2560,1610,2046,8,32,43,-1,-1,44
2570,1657,1943,6,30,40,-1,-1,40
2580,1616,1864,10,28,77,-1,-1,77
2590,1567,2688,8,46,59,-1,-1,60
2600,1573,2376,14,39,113,-1,-1,113
2610,1557,2152,8,33,47,-1,-1,47
2620,1586,2036,7,31,42,-1,-1,43
2630,1609,1928,6,29,39,-1,-1,39
2640,1629,1869,9,28,76,-1,-1,76
2650,1640,2677,7,46,58,-1,-1,59
2660,1652,2342,9,38,52,-1,-1,53
2670,1662,2149,8,35,47,-1,-1,47
2680,1679,2057,6,32,43,-1,-1,43
2690,1676,1949,5,30,39,-1,-1,39
2700,1628,1888,13,28,139,-1,-1,140
2710,1633,2734,6,46,59,-1,-1,59
2720,1655,2388,8,39,51,-1,-1,52
2730,1669,2187,8,34,47,-1,-1,47
2740,1678,2095,6,33,43,-1,-1,43
2750,1675,1996,3,31,38,-1,-1,38
2760,1676,1901,8,28,75,-1,-1,75
2770,1701,2719,5,46,58,-1,-1,58
2780,1725,2373,7,38,50,-1,-1,51
2790,1732,2185,7,35,46,-1,-1,47
2800,1763,2097,10,33,104,-1,-1,105
2810,1743,2002,4,31,39,-1,-1,40
2820,1752,1889,8,30,75,-1,-1,75
2830,1705,2688,4,47,57,-1,-1,57
2840,1694,2331,8,38,51,-1,-1,52
2850,1678,2152,7,34,46,-1,-1,46
2860,1669,2078,6,32,41,-1,-1,41
2870,1658,1984,4,30,38,-1,-1,39
2880,1693,1906,8,29,74,-1,-1,75
2890,1719,2688,5,46,57,-1,-1,58
2900,1710,2404,13,40,110,-1,-1,111
2910,1721,2232,6,36,47,-1,-1,47
2920,1680,2150,4,34,42,-1,-1,42
2930,1685,2034,3,32,39,-1,-1,39
2940,1683,1944,5,30,74,-1,-1,75
2950,1627,2762,4,47,58,-1,-1,59
2960,1632,2445,6,40,52,-1,-1,53
2970,1657,2269,5,37,46,-1,-1,46
2980,1658,2159,4,34,42,-1,-1,42
2990,1638,2043,3,32,38,-1,-1,39
