sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,0,0,49,-1,-1,49
10,1630,1642,22,21,44,-1,-1,44
20,1555,1046,12,12,26,-1,-1,26
30,1568,681,7,8,16,-1,-1,16
40,1572,526,7,6,13,-1,-1,13
50,1611,427,5,5,11,-1,-1,11
60,1648,421,11,4,30,-1,-1,30
70,1682,656,7,8,16,-1,-1,16
80,1715,528,7,6,13,-1,-1,13
90,1750,476,6,5,12,-1,-1,12
100,1804,445,13,6,69,-1,-1,69
110,1838,412,6,5,11,-1,-1,11
120,1838,403,12,4,30,-1,-1,30
130,1860,652,8,7,18,-1,-1,18
140,1892,526,6,6,13,-1,-1,13
150,1913,479,7,6,13,-1,-1,13
160,1936,436,6,5,12,-1,-1,12
170,1943,404,5,4,11,-1,-1,11
180,1948,397,12,5,32,-1,-1,32
190,1979,701,10,9,20,-1,-1,20
200,2009,563,13,8,71,-1,-1,71
210,2051,490,7,5,15,-1,-1,15
220,2080,455,7,5,13,-1,-1,13
230,2101,434,7,5,13,-1,-1,13
240,2093,422,12,4,33,-1,-1,33
250,2099,734,10,9,20,-1,-1,20
260,2082,579,9,7,16,-1,-1,16
270,2137,518,8,7,15,-1,-1,15
280,2155,479,9,6,16,-1,-1,16
290,2186,456,7,6,14,-1,-1,14
300,2224,447,21,6,93,-1,-1,93
310,2236,777,16,9,27,-1,-1,27
320,2280,628,8,8,17,-1,-1,17
330,2328,564,9,7,16,-1,-1,16
340,2351,526,13,7,20,-1,-1,20
350,2372,508,6,6,13,-1,-1,13
360,2381,497,16,6,39,-1,-1,39
370,2384,833,15,11,28,-1,-1,28
380,2404,670,11,9,20,-1,-1,20
390,2409,601,12,8,22,-1,-1,22
400,2415,554,11,8,70,-1,-1,70
410,2412,538,13,7,21,-1,-1,21
420,2409,530,21,7,46,-1,-1,46
430,2365,904,22,12,35,-1,-1,35
440,2359,753,14,10,26,-1,-1,26
450,2377,681,17,8,27,-1,-1,27
460,2378,637,7,8,17,-1,-1,17
470,2397,599,11,7,21,-1,-1,21
480,2387,594,15,7,43,-1,-1,43
490,2384,995,19,14,34,-1,-1,34
500,2386,822,15,12,77,-1,-1,77
510,2352,726,14,10,25,-1,-1,25
520,2332,675,15,9,24,-1,-1,25
530,2335,653,12,8,22,-1,-1,22
540,2367,643,20,9,49,-1,-1,49
550,2325,1059,19,15,37,-1,-1,37
560,2316,875,12,12,25,-1,-1,25
570,2277,797,14,11,26,-1,-1,26
580,2251,747,16,10,28,-1,-1,28
590,2235,711,12,10,22,-1,-1,22
600,2227,700,17,9,100,-1,-1,100
610,2196,1152,20,16,38,-1,-1,38
620,2203,962,16,13,32,-1,-1,32
630,2199,850,12,12,25,-1,-1,25
640,2206,795,17,11,28,-1,-1,28
650,2220,755,13,10,24,-1,-1,24
660,2213,741,17,9,50,-1,-1,50
670,2179,1206,20,18,40,-1,-1,40
680,2180,1012,14,14,30,-1,-1,31
690,2175,899,15,13,30,-1,-1,30
700,2188,824,11,11,74,-1,-1,74
710,2197,787,13,11,25,-1,-1,25
720,2175,772,19,10,53,-1,-1,53
730,2100,1256,18,18,38,-1,-1,38
740,2067,1065,15,15,33,-1,-1,33
750,2049,934,17,13,32,-1,-1,32
760,2035,872,16,12,30,-1,-1,30
770,2019,823,12,11,24,-1,-1,24
780,2006,815,19,10,56,-1,-1,56
790,1966,1329,20,20,42,-1,-1,42
800,1969,1132,11,16,78,-1,-1,78
810,1957,1010,16,14,33,-1,-1,33
820,1956,940,13,14,28,-1,-1,28
830,1947,881,13,12,26,-1,-1,27
840,1929,864,22,11,59,-1,-1,59
850,1879,1354,22,21,45,-1,-1,45
860,1822,1179,17,18,36,-1,-1,36
870,1801,1049,22,14,39,-1,-1,39
880,1787,975,13,14,29,-1,-1,29
890,1772,923,14,13,27,-1,-1,27
900,1724,903,17,13,105,-1,-1,105
910,1701,1389,24,20,46,-1,-1,46
920,1698,1179,24,17,44,-1,-1,44
930,1660,1047,22,14,39,-1,-1,39
940,1658,982,16,13,31,-1,-1,31
950,1640,937,14,13,29,-1,-1,29
960,1637,908,23,12,59,-1,-1,60
970,1587,1421,24,22,48,-1,-1,48
980,1575,1205,20,17,39,-1,-1,39
990,1537,1088,16,15,34,-1,-1,34
1000,1528,1003,12,14,79,-1,-1,79
1010,1544,959,14,13,29,-1,-1,29
1020,1522,930,22,12,59,-1,-1,59
1030,1523,1453,21,22,45,-1,-1,45
1040,1497,1234,21,18,40,-1,-1,40
1050,1500,1102,12,15,28,-1,-1,28
1060,1482,1014,15,14,31,-1,-1,31
1070,1465,969,11,13,25,-1,-1,25
1080,1449,948,18,12,56,-1,-1,56
1090,1419,1459,22,23,47,-1,-1,47
1100,1402,1235,16,18,85,-1,-1,85
1110,1392,1096,17,15,34,-1,-1,34
1120,1385,1012,13,14,29,-1,-1,29
1130,1410,970,15,13,29,-1,-1,29
1140,1412,939,23,12,61,-1,-1,61
1150,1386,1463,20,22,43,-1,-1,44
1160,1371,1236,19,18,39,-1,-1,39
1170,1396,1102,19,15,36,-1,-1,36
1180,1397,1037,16,14,33,-1,-1,33
1190,1417,997,15,14,30,-1,-1,30
1200,1435,973,19,14,109,-1,-1,109
1210,1403,1479,22,22,47,-1,-1,47
1220,1407,1254,19,18,40,-1,-1,40
1230,1413,1107,19,15,36,-1,-1,36
1240,1442,1033,17,14,33,-1,-1,33
1250,1441,982,21,14,35,-1,-1,35
1260,1433,948,18,13,55,-1,-1,55
1270,1391,1459,24,22,47,-1,-1,48
1280,1418,1260,21,19,42,-1,-1,42
1290,1423,1114,18,16,35,-1,-1,35
1300,1444,1037,14,14,82,-1,-1,82
1310,1430,991,14,13,30,-1,-1,30
1320,1417,974,24,12,61,-1,-1,61
1330,1409,1476,21,22,45,-1,-1,45
1340,1437,1259,18,18,39,-1,-1,39
1350,1451,1131,16,16,33,-1,-1,33
1360,1427,1074,16,15,32,-1,-1,32
1370,1419,1020,13,14,28,-1,-1,28
1380,1409,988,24,13,60,-1,-1,60
1390,1370,1503,20,23,46,-1,-1,46
1400,1375,1295,17,19,88,-1,-1,88
1410,1354,1178,16,17,35,-1,-1,36
1420,1333,1109,15,16,32,-1,-1,32
1430,1311,1048,14,15,29,-1,-1,29
1440,1294,1015,21,14,59,-1,-1,60
1450,1269,1513,21,22,46,-1,-1,46
1460,1243,1307,17,19,38,-1,-1,38
1470,1246,1174,18,16,37,-1,-1,37
1480,1222,1098,16,15,33,-1,-1,34
1490,1219,1042,16,14,31,-1,-1,31
1500,1227,1011,20,14,110,-1,-1,110
1510,1199,1520,22,22,47,-1,-1,47
1520,1168,1337,16,19,37,-1,-1,37
1530,1181,1216,16,16,34,-1,-1,34
1540,1181,1120,14,15,30,-1,-1,31
1550,1202,1071,13,14,29,-1,-1,29
1560,1173,1046,19,14,58,-1,-1,58
1570,1185,1540,22,23,47,-1,-1,47
1580,1198,1340,16,19,37,-1,-1,37
1590,1203,1202,15,17,34,-1,-1,34
1600,1200,1109,17,15,85,-1,-1,85
1610,1231,1036,14,14,30,-1,-1,30
1620,1251,1011,22,13,58,-1,-1,58
1630,1247,1482,19,21,43,-1,-1,43
1640,1246,1303,17,19,37,-1,-1,37
1650,1232,1166,17,16,35,-1,-1,35
1660,1228,1073,15,15,31,-1,-1,31
1670,1227,1033,14,14,30,-1,-1,30
1680,1211,1008,23,13,59,-1,-1,59
1690,1197,1476,19,22,44,-1,-1,44
1700,1172,1284,18,18,88,-1,-1,88
1710,1183,1151,16,16,33,-1,-1,33
1720,1170,1069,15,14,31,-1,-1,31
1730,1195,1037,15,14,30,-1,-1,30
1740,1207,998,24,13,58,-1,-1,58
1750,1187,1456,19,22,43,-1,-1,44
1760,1166,1278,17,18,37,-1,-1,37
1770,1151,1166,15,16,34,-1,-1,34
1780,1141,1078,15,14,32,-1,-1,32
1790,1143,1035,14,14,30,-1,-1,30
1800,1131,999,26,14,112,-1,-1,112
1810,1091,1446,20,21,42,-1,-1,42
1820,1097,1279,17,18,37,-1,-1,37
1830,1102,1144,17,16,34,-1,-1,34
1840,1079,1066,16,15,32,-1,-1,32
1850,1056,1030,15,14,30,-1,-1,30
1860,1085,987,24,13,58,-1,-1,58
1870,1081,1383,22,20,44,-1,-1,44
1880,1124,1213,20,17,38,-1,-1,38
1890,1131,1102,18,15,36,-1,-1,36
1900,1137,1045,19,15,86,-1,-1,86
1910,1133,1004,15,13,31,-1,-1,31
1920,1116,963,25,13,57,-1,-1,58
1930,1101,1388,22,19,43,-1,-1,43
1940,1109,1221,20,16,39,-1,-1,39
1950,1117,1084,20,14,36,-1,-1,37
1960,1124,1021,18,14,32,-1,-1,32
1970,1129,993,17,13,32,-1,-1,32
1980,1130,964,27,12,59,-1,-1,59
1990,1111,1379,23,19,45,-1,-1,45
2000,1094,1223,24,17,92,-1,-1,92
2010,1103,1098,20,14,37,-1,-1,37
2020,1103,1047,18,14,34,-1,-1,34
2030,1107,997,16,13,30,-1,-1,30
2040,1078,963,28,13,59,-1,-1,59
2050,1027,1383,23,20,45,-1,-1,46
2060,1047,1235,21,17,40,-1,-1,40
2070,1045,1109,21,14,38,-1,-1,38
2080,1059,1054,20,14,35,-1,-1,35
2090,1072,1017,17,13,32,-1,-1,32
2100,1060,997,30,13,114,-1,-1,114
2110,1038,1393,22,20,45,-1,-1,45
2120,985,1242,21,17,41,-1,-1,41
2130,981,1113,21,15,37,-1,-1,37
2140,984,1061,19,14,35,-1,-1,35
2150,1008,1020,16,13,32,-1,-1,32
2160,993,998,25,13,57,-1,-1,57
2170,966,1391,23,20,47,-1,-1,47
2180,958,1259,21,17,40,-1,-1,40
2190,965,1106,20,14,37,-1,-1,37
2200,986,1045,22,14,90,-1,-1,90
2210,989,995,17,13,31,-1,-1,31
2220,991,968,28,12,58,-1,-1,58
2230,960,1352,23,19,45,-1,-1,45
2240,948,1218,20,17,38,-1,-1,38
2250,949,1097,19,15,35,-1,-1,35
2260,967,1024,18,14,33,-1,-1,33
2270,979,984,17,12,31,-1,-1,31
2280,978,962,29,12,59,-1,-1,59
2290,967,1344,23,19,44,-1,-1,44
2300,977,1205,23,17,91,-1,-1,91
2310,982,1103,19,15,36,-1,-1,36
2320,976,1017,19,13,34,-1,-1,34
2330,1003,981,17,13,31,-1,-1,32
2340,1040,965,29,12,59,-1,-1,60
2350,1038,1350,25,19,47,-1,-1,47
2360,1021,1180,22,16,40,-1,-1,40
2370,1017,1079,21,15,37,-1,-1,37
2380,1035,984,20,13,35,-1,-1,35
2390,1016,953,17,12,31,-1,-1,31
2400,1036,946,32,12,111,-1,-1,112
2410,1028,1320,24,19,45,-1,-1,45
2420,1006,1209,21,16,40,-1,-1,40
2430,979,1100,22,15,37,-1,-1,37
2440,992,1019,18,13,34,-1,-1,34
2450,943,985,17,13,31,-1,-1,31
2460,938,959,26,12,56,-1,-1,56
2470,963,1343,24,18,45,-1,-1,45
2480,989,1207,22,16,40,-1,-1,40
2490,975,1083,21,14,38,-1,-1,38
2500,977,996,22,13,87,-1,-1,87
2510,982,966,17,12,32,-1,-1,32
2520,982,948,28,12,56,-1,-1,56
2530,942,1326,24,18,45,-1,-1,45
2540,937,1211,23,16,41,-1,-1,41
2550,954,1098,22,15,38,-1,-1,38
2560,954,1018,21,13,36,-1,-1,36
2570,943,1001,19,12,33,-1,-1,33
2580,918,970,29,12,58,-1,-1,58
2590,924,1346,25,18,46,-1,-1,46
2600,898,1210,26,16,95,-1,-1,95
2610,920,1086,23,14,40,-1,-1,40
2620,942,1013,22,14,36,-1,-1,36
2630,973,980,18,13,33,-1,-1,33
2640,975,951,28,12,56,-1,-1,56
2650,993,1330,26,18,47,-1,-1,47
2660,1010,1209,25,16,42,-1,-1,42
2670,1036,1082,23,14,39,-1,-1,39
2680,1069,1021,22,13,38,-1,-1,38
2690,1072,988,19,13,33,-1,-1,33
2700,1075,955,33,13,113,-1,-1,113
2710,1040,1325,26,19,47,-1,-1,47
2720,1047,1192,26,16,44,-1,-1,44
2730,1046,1091,24,15,41,-1,-1,41
2740,1034,1039,22,14,37,-1,-1,37
2750,1037,1012,18,13,33,-1,-1,33
2760,1016,1000,28,13,58,-1,-1,58
2770,1001,1350,26,19,47,-1,-1,47
2780,989,1214,24,16,42,-1,-1,42
2790,960,1129,22,15,39,-1,-1,39
2800,979,1062,22,14,89,-1,-1,89
2810,992,1036,17,13,32,-1,-1,32
2820,999,1009,29,13,57,-1,-1,57
2830,985,1363,25,19,47,-1,-1,47
2840,987,1233,24,17,43,-1,-1,43
2850,988,1129,23,16,39,-1,-1,39
2860,984,1072,21,15,37,-1,-1,37
2870,997,1025,18,13,33,-1,-1,33
2880,995,1013,29,13,57,-1,-1,57
2890,1009,1342,26,19,47,-1,-1,47
2900,998,1246,28,18,97,-1,-1,97
2910,1017,1152,23,15,41,-1,-1,41
2920,1007,1085,20,15,36,-1,-1,36
2930,989,1033,19,13,34,-1,-1,34
2940,996,1000,29,13,56,-1,-1,57
2950,993,1343,27,19,48,-1,-1,48
2960,993,1237,25,17,44,-1,-1,44
2970,993,1134,24,15,40,-1,-1,40
2980,965,1081,22,15,37,-1,-1,37
2990,941,1055,17,14,32,-1,-1,32
