sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,4,0,53,-1,-1,53
10,6355,6528,12,140,165,-1,-1,165
20,6108,4134,7,75,92,-1,-1,92
30,6105,2708,6,44,58,-1,-1,58
40,6121,2114,5,33,44,-1,-1,44
50,6218,1731,3,26,33,-1,-1,33
60,6312,1692,2,25,86,-1,-1,86
70,6362,2578,4,45,54,-1,-1,54
80,6448,2116,3,35,43,-1,-1,43
90,6547,1868,5,30,40,-1,-1,40
100,6606,1764,2,27,96,-1,-1,96
110,6717,1653,4,26,34,-1,-1,34
120,6841,1624,4,25,89,-1,-1,89
130,6926,2657,4,48,57,-1,-1,57
140,7028,2166,4,37,48,-1,-1,48
150,7136,1937,6,32,44,-1,-1,44
160,7198,1803,3,30,39,-1,-1,39
170,7331,1709,7,28,40,-1,-1,40
180,7377,1667,6,27,96,-1,-1,96
190,7479,2801,9,53,69,-1,-1,69
200,7622,2298,3,42,108,-1,-1,108
210,7750,2016,6,35,49,-1,-1,49
220,7856,1885,9,33,47,-1,-1,47
230,7939,1771,5,30,40,-1,-1,41
240,8030,1732,13,30,106,-1,-1,106
250,8063,2904,10,58,76,-1,-1,76
260,8100,2406,10,46,62,-1,-1,62
270,8180,2148,8,39,54,-1,-1,54
280,8261,2004,8,36,50,-1,-1,50
290,8353,1892,10,34,49,-1,-1,49
300,8436,1854,13,33,171,-1,-1,171
310,8476,3085,11,62,81,-1,-1,81
320,8537,2547,12,49,69,-1,-1,69
330,8661,2283,6,43,57,-1,-1,57
340,8725,2146,8,41,55,-1,-1,55
350,8812,2025,8,37,51,-1,-1,51
360,8874,2000,18,37,124,-1,-1,124
370,8894,3330,11,69,90,-1,-1,90
380,8952,2762,12,56,75,-1,-1,76
390,8960,2480,12,49,68,-1,-1,68
400,8958,2340,7,45,116,-1,-1,116
410,8985,2217,13,42,62,-1,-1,62
420,9026,2182,18,41,134,-1,-1,134
430,8969,3608,9,76,96,-1,-1,96
440,8991,3021,15,62,86,-1,-1,86
450,9010,2705,14,54,76,-1,-1,76
460,9022,2557,9,50,67,-1,-1,68
470,9044,2424,8,47,63,-1,-1,63
480,9060,2373,9,46,135,-1,-1,135
490,8947,3880,11,85,108,-1,-1,108
500,8943,3289,10,68,143,-1,-1,144
510,8917,2931,13,59,82,-1,-1,82
520,8881,2785,6,55,70,-1,-1,70
530,8852,2638,11,52,71,-1,-1,71
