sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,1,0,49,-1,-1,49
10,2445,2473,4,38,46,-1,-1,46
20,2342,1572,3,21,27,-1,-1,27
30,2340,1024,3,13,17,-1,-1,17
40,2352,799,1,10,13,-1,-1,13
50,2406,651,2,8,11,-1,-1,11
60,2477,641,3,7,31,-1,-1,31
70,2508,970,3,12,17,-1,-1,17
80,2553,796,2,10,14,-1,-1,14
90,2603,710,2,9,13,-1,-1,13
100,2665,660,3,8,64,-1,-1,64
110,2721,612,2,8,10,-1,-1,10
120,2753,593,5,7,33,-1,-1,33
130,2771,971,3,13,17,-1,-1,17
140,2833,779,3,10,14,-1,-1,14
150,2859,698,2,9,13,-1,-1,13
160,2908,646,3,9,12,-1,-1,12
170,2953,602,3,7,13,-1,-1,13
180,2962,594,5,7,34,-1,-1,34
190,2991,1030,3,14,20,-1,-1,20
200,3049,836,8,12,71,-1,-1,71
210,3105,738,3,10,14,-1,-1,14
220,3137,691,3,10,13,-1,-1,13
230,3187,659,3,9,12,-1,-1,12
240,3209,643,5,8,36,-1,-1,36
250,3217,1092,5,16,23,-1,-1,23
260,3193,896,4,13,17,-1,-1,17
270,3228,813,3,11,16,-1,-1,16
280,3226,743,4,11,16,-1,-1,16
290,3225,709,4,10,14,-1,-1,14
300,3245,690,7,9,91,-1,-1,91
310,3240,1180,5,18,23,-1,-1,23
320,3288,985,4,14,20,-1,-1,20
330,3357,877,4,12,17,-1,-1,18
340,3395,830,4,12,16,-1,-1,17
350,3426,791,3,10,15,-1,-1,15
360,3402,782,6,11,43,-1,-1,43
370,3442,1312,3,21,26,-1,-1,26
380,3465,1077,5,16,23,-1,-1,23
390,3460,969,3,14,19,-1,-1,19
400,3472,904,7,13,74,-1,-1,74
410,3483,857,4,12,18,-1,-1,18
420,3478,843,6,12,46,-1,-1,46
430,3452,1400,5,22,30,-1,-1,30
440,3474,1160,6,18,24,-1,-1,25
450,3490,1039,4,15,22,-1,-1,22
460,3468,965,5,14,21,-1,-1,21
470,3467,908,5,13,19,-1,-1,19
480,3441,894,9,14,52,-1,-1,52
490,3407,1491,7,24,33,-1,-1,33
500,3387,1249,4,20,77,-1,-1,77
510,3350,1115,4,17,24,-1,-1,24
520,3317,1054,5,16,22,-1,-1,22
530,3295,1003,4,15,20,-1,-1,20
540,3292,988,6,14,52,-1,-1,52
550,3272,1624,5,26,36,-1,-1,36
560,3241,1360,4,22,29,-1,-1,29
570,3220,1225,4,19,25,-1,-1,25
580,3198,1141,4,17,24,-1,-1,24
590,3194,1085,4,16,23,-1,-1,23
600,3175,1057,8,16,108,-1,-1,108
610,3139,1703,6,28,37,-1,-1,37
620,3102,1451,5,23,31,-1,-1,31
630,3088,1284,5,20,28,-1,-1,28
640,3095,1210,4,19,26,-1,-1,26
650,3076,1151,3,17,23,-1,-1,23
660,3064,1110,9,17,60,-1,-1,60
670,3020,1795,6,31,40,-1,-1,40
680,2970,1520,4,24,32,-1,-1,32
690,2969,1360,5,21,29,-1,-1,29
700,2975,1282,4,20,78,-1,-1,78
710,2943,1215,4,18,26,-1,-1,26
720,2917,1178,8,19,62,-1,-1,62
730,2813,1925,6,32,42,-1,-1,42
740,2796,1624,6,26,35,-1,-1,35
750,2789,1438,4,23,29,-1,-1,30
760,2778,1345,6,21,28,-1,-1,28
770,2768,1272,5,20,28,-1,-1,28
780,2731,1237,5,19,62,-1,-1,62
790,2671,2007,3,35,42,-1,-1,42
800,2651,1706,2,28,86,-1,-1,86
810,2626,1529,2,25,30,-1,-1,30
820,2593,1421,4,23,28,-1,-1,28
830,2573,1338,4,21,27,-1,-1,28
840,2561,1299,5,20,63,-1,-1,63
850,2506,2071,4,36,45,-1,-1,45
860,2472,1761,2,29,35,-1,-1,35
870,2431,1559,6,25,34,-1,-1,34
880,2426,1451,5,23,30,-1,-1,30
890,2425,1366,3,21,26,-1,-1,26
900,2396,1326,4,20,115,-1,-1,115
910,2342,2092,5,35,44,-1,-1,44
920,2315,1781,5,29,37,-1,-1,37
930,2309,1582,5,25,33,-1,-1,33
940,2258,1471,6,24,32,-1,-1,32
950,2240,1391,4,22,27,-1,-1,27
960,2266,1347,5,20,63,-1,-1,63
970,2197,2138,6,36,47,-1,-1,47
980,2192,1821,5,29,38,-1,-1,38
990,2176,1640,4,26,33,-1,-1,33
1000,2160,1530,5,24,86,-1,-1,86
1010,2175,1446,2,22,27,-1,-1,27
1020,2144,1394,3,21,62,-1,-1,62
1030,2140,2177,3,38,45,-1,-1,45
1040,2100,1829,4,30,36,-1,-1,37
1050,2093,1647,5,26,34,-1,-1,34
1060,2043,1551,4,24,31,-1,-1,31
1070,2026,1464,3,21,28,-1,-1,28
1080,2037,1404,5,21,64,-1,-1,64
1090,1970,2181,4,38,46,-1,-1,46
1100,1978,1845,1,29,86,-1,-1,86
1110,1972,1665,2,26,31,-1,-1,31
1120,1973,1548,4,24,30,-1,-1,31
1130,1997,1436,3,21,28,-1,-1,28
1140,1999,1401,6,21,64,-1,-1,64
1150,1968,2174,2,37,43,-1,-1,43
1160,1977,1820,3,29,36,-1,-1,36
1170,2018,1646,3,26,32,-1,-1,32
1180,1991,1554,3,24,29,-1,-1,29
1190,1979,1448,3,22,28,-1,-1,28
1200,1975,1397,5,20,117,-1,-1,117
1210,1937,2205,4,37,46,-1,-1,46
1220,1955,1854,4,30,38,-1,-1,38
1230,1939,1653,6,26,34,-1,-1,34
1240,1958,1556,4,23,30,-1,-1,30
1250,1968,1457,3,22,26,-1,-1,26
1260,1921,1406,8,21,65,-1,-1,65
1270,1886,2164,4,36,45,-1,-1,45
1280,1881,1856,4,30,36,-1,-1,37
1290,1893,1656,4,26,32,-1,-1,32
1300,1891,1543,2,23,82,-1,-1,82
1310,1897,1433,5,21,28,-1,-1,28
1320,1948,1392,8,20,65,-1,-1,65
1330,1926,2138,5,36,45,-1,-1,45
1340,1945,1830,4,30,36,-1,-1,36
1350,1944,1644,4,26,32,-1,-1,33
1360,1943,1564,3,24,30,-1,-1,30
1370,1909,1463,4,22,28,-1,-1,28
1380,1918,1418,7,22,66,-1,-1,66
1390,1875,2189,5,37,46,-1,-1,46
1400,1887,1887,1,30,86,-1,-1,86
1410,1891,1712,2,26,32,-1,-1,32
1420,1858,1611,5,25,31,-1,-1,31
1430,1835,1509,5,23,29,-1,-1,29
1440,1802,1446,7,22,66,-1,-1,66
1450,1757,2195,5,37,46,-1,-1,46
1460,1728,1882,3,30,37,-1,-1,37
1470,1707,1717,3,27,33,-1,-1,33
1480,1687,1611,4,24,31,-1,-1,31
1490,1673,1496,3,22,27,-1,-1,27
1500,1681,1454,5,22,117,-1,-1,117
1510,1637,2202,6,36,47,-1,-1,47
1520,1581,1900,5,30,38,-1,-1,38
1530,1552,1734,4,26,34,-1,-1,34
1540,1527,1610,5,24,32,-1,-1,32
1550,1544,1503,6,22,29,-1,-1,29
1560,1556,1439,9,21,66,-1,-1,66
1570,1560,2190,5,36,46,-1,-1,47
1580,1540,1879,6,30,38,-1,-1,38
1590,1555,1713,6,26,35,-1,-1,35
1600,1545,1623,4,24,84,-1,-1,84
1610,1562,1516,4,22,28,-1,-1,29
1620,1540,1462,6,21,62,-1,-1,62
1630,1587,2179,5,36,45,-1,-1,45
1640,1553,1905,7,30,39,-1,-1,39
1650,1548,1757,5,27,35,-1,-1,35
1660,1543,1652,4,25,32,-1,-1,32
1670,1532,1548,4,22,29,-1,-1,29
1680,1568,1492,6,23,63,-1,-1,63
1690,1561,2204,3,36,45,-1,-1,45
1700,1538,1931,2,30,87,-1,-1,87
1710,1546,1748,6,27,35,-1,-1,36
1720,1551,1656,5,25,31,-1,-1,31
1730,1575,1526,4,22,30,-1,-1,30
1740,1584,1481,7,22,64,-1,-1,64
1750,1551,2183,5,36,45,-1,-1,46
1760,1543,1934,4,30,38,-1,-1,38
1770,1543,1770,3,27,33,-1,-1,33
1780,1541,1667,4,25,32,-1,-1,32
1790,1535,1546,4,23,29,-1,-1,29
1800,1528,1483,7,22,117,-1,-1,117
1810,1501,2229,6,36,46,-1,-1,46
1820,1471,1967,4,31,38,-1,-1,38
1830,1508,1777,5,27,36,-1,-1,36
1840,1498,1643,5,25,32,-1,-1,32
1850,1483,1519,5,22,30,-1,-1,30
1860,1520,1471,10,22,65,-1,-1,65
1870,1483,2205,7,36,48,-1,-1,48
1880,1500,1937,7,30,41,-1,-1,41
1890,1491,1741,7,26,37,-1,-1,37
1900,1490,1632,6,24,87,-1,-1,87
1910,1487,1534,5,22,31,-1,-1,31
1920,1472,1475,9,22,64,-1,-1,64
1930,1473,2204,5,35,46,-1,-1,46
1940,1469,1927,6,30,40,-1,-1,40
1950,1482,1745,7,27,36,-1,-1,37
1960,1465,1610,8,24,34,-1,-1,34
1970,1477,1508,6,22,31,-1,-1,31
1980,1514,1459,8,21,62,-1,-1,62
1990,1508,2159,4,36,44,-1,-1,44
2000,1526,1903,5,30,90,-1,-1,90
2010,1534,1746,9,27,38,-1,-1,39
2020,1519,1634,7,24,35,-1,-1,35
2030,1536,1539,7,23,31,-1,-1,31
2040,1506,1484,7,21,61,-1,-1,61
2050,1450,2172,5,35,45,-1,-1,45
2060,1477,1903,8,30,41,-1,-1,41
2070,1469,1765,8,27,38,-1,-1,38
2080,1475,1640,8,25,36,-1,-1,36
2090,1455,1560,6,23,31,-1,-1,31
2100,1454,1523,4,23,113,-1,-1,113
2110,1396,2199,6,36,47,-1,-1,47
2120,1367,1917,7,30,40,-1,-1,40
2130,1394,1789,8,28,38,-1,-1,38
2140,1370,1662,8,25,34,-1,-1,35
2150,1379,1554,6,22,30,-1,-1,30
2160,1380,1487,7,21,60,-1,-1,60
2170,1366,2155,7,35,46,-1,-1,46
2180,1370,1892,8,29,40,-1,-1,40
2190,1396,1748,9,26,38,-1,-1,38
2200,1401,1641,6,24,87,-1,-1,87
2210,1418,1543,7,22,30,-1,-1,30
2220,1418,1491,9,21,61,-1,-1,61
2230,1377,2128,6,34,44,-1,-1,44
2240,1385,1876,6,29,39,-1,-1,39
2250,1398,1732,7,27,36,-1,-1,36
2260,1389,1619,8,24,35,-1,-1,35
2270,1412,1534,5,22,29,-1,-1,29
2280,1444,1491,4,22,57,-1,-1,58
2290,1413,2150,4,34,43,-1,-1,43
2300,1391,1897,4,29,89,-1,-1,89
2310,1389,1799,6,27,37,-1,-1,37
2320,1360,1675,7,25,35,-1,-1,35
2330,1396,1586,5,23,31,-1,-1,31
2340,1382,1531,2,23,56,-1,-1,56
2350,1366,2199,4,35,45,-1,-1,45
2360,1355,1942,5,30,38,-1,-1,38
2370,1353,1828,5,28,36,-1,-1,36
2380,1342,1686,6,25,34,-1,-1,34
2390,1314,1590,5,23,30,-1,-1,30
2400,1353,1540,3,22,111,-1,-1,111
2410,1335,2188,5,35,44,-1,-1,44
2420,1340,1935,3,30,37,-1,-1,37
2430,1316,1813,5,27,36,-1,-1,36
2440,1317,1678,5,25,33,-1,-1,33
2450,1306,1583,5,23,30,-1,-1,30
2460,1314,1502,3,21,55,-1,-1,55
2470,1335,2155,5,34,44,-1,-1,44
2480,1348,1907,6,29,39,-1,-1,39
2490,1385,1785,6,27,37,-1,-1,37
2500,1387,1636,4,24,85,-1,-1,85
2510,1416,1554,6,22,31,-1,-1,31
2520,1425,1486,7,21,57,-1,-1,57
2530,1395,2107,6,34,45,-1,-1,45
2540,1386,1851,8,29,40,-1,-1,40
2550,1408,1740,8,27,37,-1,-1,37
2560,1388,1606,9,24,34,-1,-1,34
2570,1404,1510,7,22,32,-1,-1,32
2580,1388,1454,7,21,57,-1,-1,57
2590,1355,2055,8,33,44,-1,-1,44
2600,1345,1841,7,28,89,-1,-1,89
2610,1355,1743,9,27,38,-1,-1,38
2620,1370,1606,9,24,36,-1,-1,36
2630,1363,1518,7,22,31,-1,-1,31
2640,1350,1469,6,21,56,-1,-1,56
2650,1331,2074,8,33,45,-1,-1,45
2660,1356,1830,8,28,39,-1,-1,39
2670,1367,1703,10,25,37,-1,-1,37
2680,1415,1579,9,23,35,-1,-1,35
2690,1403,1503,8,22,31,-1,-1,31
2700,1421,1459,6,20,109,-1,-1,109
2710,1428,2036,10,32,46,-1,-1,46
2720,1431,1778,11,26,41,-1,-1,41
2730,1440,1679,11,25,39,-1,-1,39
2740,1423,1582,9,23,35,-1,-1,36
2750,1422,1492,8,22,31,-1,-1,31
2760,1380,1459,7,21,56,-1,-1,56
2770,1364,2043,8,32,45,-1,-1,45
2780,1335,1797,9,27,40,-1,-1,40
2790,1309,1714,11,26,39,-1,-1,39
2800,1326,1601,13,24,93,-1,-1,93
2810,1334,1525,8,22,32,-1,-1,32
2820,1358,1484,6,22,55,-1,-1,55
2830,1334,2072,8,33,45,-1,-1,45
2840,1309,1810,8,28,40,-1,-1,40
2850,1292,1707,9,25,38,-1,-1,38
2860,1325,1623,8,24,35,-1,-1,35
2870,1351,1532,6,22,31,-1,-1,31
2880,1339,1496,5,21,54,-1,-1,55
2890,1377,2055,8,33,46,-1,-1,46
2900,1388,1825,7,29,90,-1,-1,90
2910,1379,1727,9,26,38,-1,-1,38
2920,1362,1592,10,23,36,-1,-1,36
2930,1339,1508,7,22,31,-1,-1,31
2940,1335,1498,6,22,55,-1,-1,55
2950,1293,2075,7,33,44,-1,-1,44
2960,1296,1825,10,27,41,-1,-1,41
2970,1318,1726,11,26,39,-1,-1,39
2980,1284,1578,11,23,36,-1,-1,36
2990,1274,1515,9,22,32,-1,-1,32
