sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,7,0,38,-1,-1,38
10,2424,2505,4,38,45,-1,-1,45
20,2365,1603,1,21,25,-1,-1,25
30,2353,1051,2,12,17,-1,-1,17
40,2352,808,2,9,13,-1,-1,13
50,2354,648,2,8,10,-1,-1,10
60,2392,629,1,8,29,-1,-1,30
70,2430,995,2,12,16,-1,-1,16
80,2460,814,1,10,13,-1,-1,13
90,2544,713,2,9,12,-1,-1,12
100,2590,660,3,8,63,-1,-1,63
110,2633,621,2,8,10,-1,-1,10
120,2645,611,2,8,30,-1,-1,30
130,2675,999,2,13,17,-1,-1,17
140,2700,830,2,11,14,-1,-1,14
150,2769,744,2,10,13,-1,-1,13
160,2823,673,2,8,12,-1,-1,12
170,2845,635,3,8,12,-1,-1,12
180,2879,626,3,8,33,-1,-1,33
190,2932,1055,2,15,17,-1,-1,17
200,3002,864,5,12,66,-1,-1,66
210,3050,755,2,10,14,-1,-1,14
220,3108,701,3,9,13,-1,-1,13
230,3154,650,4,9,14,-1,-1,14
240,3220,641,5,9,35,-1,-1,35
250,3250,1081,4,15,22,-1,-1,22
260,3278,892,4,12,19,-1,-1,19
270,3323,791,4,10,16,-1,-1,16
280,3372,753,5,10,16,-1,-1,16
290,3415,711,3,10,15,-1,-1,15
300,3456,692,5,9,87,-1,-1,87
310,3478,1157,5,17,25,-1,-1,25
320,3510,983,4,14,19,-1,-1,19
330,3516,880,4,13,19,-1,-1,19
340,3561,828,3,12,16,-1,-1,16
350,3564,779,5,11,17,-1,-1,17
360,3606,759,4,11,40,-1,-1,40
370,3617,1239,6,19,27,-1,-1,27
380,3640,1039,5,16,21,-1,-1,21
390,3704,914,5,13,21,-1,-1,21
400,3719,860,6,13,66,-1,-1,66
410,3741,805,4,11,18,-1,-1,18
420,3721,789,8,12,46,-1,-1,46
430,3709,1307,7,20,29,-1,-1,29
440,3718,1101,6,16,24,-1,-1,24
450,3738,965,7,14,23,-1,-1,23
460,3699,911,6,13,22,-1,-1,22
470,3709,860,7,13,20,-1,-1,20
480,3729,833,11,13,50,-1,-1,50
490,3731,1388,8,23,34,-1,-1,34
500,3759,1201,7,19,71,-1,-1,71
510,3778,1042,6,16,24,-1,-1,24
520,3763,971,7,14,24,-1,-1,24
530,3802,911,5,14,20,-1,-1,20
540,3829,890,11,14,53,-1,-1,53
550,3781,1481,8,25,35,-1,-1,35
560,3796,1287,6,21,31,-1,-1,31
570,3818,1133,6,18,27,-1,-1,27
580,3819,1065,6,17,25,-1,-1,25
590,3828,988,5,15,23,-1,-1,23
600,3818,969,7,15,95,-1,-1,95
610,3781,1589,8,27,38,-1,-1,38
620,3769,1369,6,22,31,-1,-1,31
630,3756,1204,6,19,28,-1,-1,28
640,3739,1126,7,17,27,-1,-1,27
650,3746,1063,6,16,24,-1,-1,24
660,3751,1035,8,16,57,-1,-1,57
670,3706,1696,4,31,39,-1,-1,39
680,3728,1471,6,25,34,-1,-1,34
690,3747,1290,7,21,31,-1,-1,31
700,3772,1191,8,19,72,-1,-1,72
710,3765,1116,5,18,24,-1,-1,24
720,3751,1085,7,17,58,-1,-1,58
730,3604,1775,6,31,41,-1,-1,41
740,3585,1537,5,26,34,-1,-1,34
750,3554,1359,5,22,30,-1,-1,30
760,3534,1262,6,20,28,-1,-1,28
770,3521,1185,6,19,25,-1,-1,25
780,3502,1165,5,19,60,-1,-1,60
790,3449,1865,6,33,43,-1,-1,43
800,3389,1646,6,28,77,-1,-1,77
810,3368,1456,5,24,31,-1,-1,31
820,3345,1347,5,21,29,-1,-1,29
830,3300,1259,6,19,27,-1,-1,27
840,3292,1231,6,19,61,-1,-1,61
850,3293,1948,7,35,44,-1,-1,44
860,3268,1718,3,30,35,-1,-1,35
870,3239,1500,4,26,32,-1,-1,32
880,3204,1378,6,22,30,-1,-1,30
890,3192,1279,5,20,28,-1,-1,28
900,3197,1247,11,19,108,-1,-1,108
910,3159,1951,8,34,45,-1,-1,45
920,3170,1736,4,29,37,-1,-1,37
930,3174,1520,6,25,33,-1,-1,33
940,3155,1397,6,22,31,-1,-1,31
950,3169,1295,6,20,28,-1,-1,28
960,3159,1263,11,20,66,-1,-1,66
970,3116,1962,9,34,48,-1,-1,48
980,3092,1752,6,29,39,-1,-1,39
990,3097,1551,6,25,35,-1,-1,35
1000,3084,1422,9,22,72,-1,-1,72
1010,3104,1322,7,21,29,-1,-1,29
1020,3093,1286,9,20,66,-1,-1,66
1030,3070,2020,6,36,46,-1,-1,46
1040,3046,1791,4,30,38,-1,-1,38
1050,3044,1574,6,26,35,-1,-1,35
1060,3064,1432,7,23,32,-1,-1,33
1070,3044,1324,7,20,28,-1,-1,28
1080,3049,1288,9,19,65,-1,-1,65
1090,2998,2029,6,36,46,-1,-1,46
1100,2940,1818,6,31,81,-1,-1,81
1110,2932,1583,5,25,33,-1,-1,33
1120,2928,1450,6,22,32,-1,-1,32
1130,2892,1348,5,21,27,-1,-1,27
1140,2906,1326,10,20,65,-1,-1,65
1150,2831,2038,6,36,45,-1,-1,45
1160,2830,1817,5,31,39,-1,-1,39
1170,2821,1598,6,26,35,-1,-1,35
1180,2838,1440,6,23,31,-1,-1,31
1190,2828,1340,7,20,29,-1,-1,29
1200,2831,1310,14,20,110,-1,-1,110
1210,2773,1998,9,34,47,-1,-1,47
1220,2757,1792,5,30,39,-1,-1,39
1230,2769,1588,7,25,35,-1,-1,35
1240,2765,1432,8,22,33,-1,-1,33
1250,2782,1340,8,20,31,-1,-1,31
1260,2823,1326,13,20,67,-1,-1,67
1270,2802,1990,10,35,47,-1,-1,47
1280,2780,1820,6,30,41,-1,-1,41
1290,2756,1617,8,26,37,-1,-1,37
1300,2756,1470,11,23,76,-1,-1,76
1310,2772,1365,7,21,30,-1,-1,30
1320,2779,1316,12,20,65,-1,-1,65
1330,2739,1988,8,35,46,-1,-1,46
1340,2724,1809,5,30,39,-1,-1,39
1350,2712,1619,6,26,35,-1,-1,35
1360,2682,1471,4,24,31,-1,-1,31
1370,2690,1352,5,20,29,-1,-1,29
1380,2681,1327,12,20,65,-1,-1,65
1390,2636,1984,9,34,46,-1,-1,46
1400,2628,1827,6,30,80,-1,-1,80
1410,2655,1653,6,27,35,-1,-1,35
1420,2642,1501,7,23,33,-1,-1,33
1430,2653,1383,6,21,30,-1,-1,30
1440,2632,1342,11,21,65,-1,-1,65
1450,2573,1992,9,35,47,-1,-1,47
1460,2592,1819,5,30,39,-1,-1,39
1470,2644,1628,7,26,36,-1,-1,36
1480,2654,1496,7,24,33,-1,-1,33
1490,2612,1344,8,20,31,-1,-1,31
