sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,6,0,55,-1,-1,55
10,2410,2431,8,37,48,-1,-1,48
20,2376,1521,3,20,26,-1,-1,27
30,2416,994,2,12,16,-1,-1,16
40,2455,784,2,9,12,-1,-1,13
50,2498,661,2,7,10,-1,-1,11
60,2525,641,4,8,32,-1,-1,32
70,2604,950,3,12,16,-1,-1,16
80,2699,769,3,10,14,-1,-1,14
90,2757,666,1,9,12,-1,-1,12
100,2816,617,6,8,64,-1,-1,65
110,2871,580,2,7,10,-1,-1,11
120,2902,573,5,7,33,-1,-1,33
130,2941,945,3,12,17,-1,-1,17
140,3010,771,4,10,15,-1,-1,15
150,3061,681,3,9,13,-1,-1,13
160,3129,629,3,8,12,-1,-1,12
170,3166,610,3,8,11,-1,-1,11
180,3175,592,6,8,33,-1,-1,33
190,3185,1003,4,14,19,-1,-1,19
200,3207,861,9,11,71,-1,-1,71
210,3238,776,2,10,14,-1,-1,14
220,3258,732,2,10,13,-1,-1,13
230,3284,703,2,9,13,-1,-1,13
240,3297,679,4,10,36,-1,-1,37
250,3316,1118,4,17,22,-1,-1,22
260,3359,963,2,14,17,-1,-1,17
270,3372,883,2,12,16,-1,-1,17
280,3415,819,2,12,15,-1,-1,16
290,3413,781,2,10,15,-1,-1,15
300,3426,757,7,11,92,-1,-1,92
310,3420,1252,2,18,24,-1,-1,24
320,3427,1058,2,16,21,-1,-1,21
330,3439,950,2,14,18,-1,-1,19
340,3452,901,2,13,17,-1,-1,17
350,3466,853,2,12,16,-1,-1,16
360,3476,825,4,12,43,-1,-1,44
370,3456,1342,3,21,26,-1,-1,26
380,3442,1142,2,17,22,-1,-1,22
390,3431,1041,2,15,20,-1,-1,20
400,3476,981,8,14,73,-1,-1,73
410,3470,935,2,14,17,-1,-1,18
420,3482,922,4,14,48,-1,-1,48
430,3478,1500,2,24,30,-1,-1,30
440,3486,1283,2,20,26,-1,-1,26
450,3496,1173,1,19,22,-1,-1,22
460,3513,1107,2,17,22,-1,-1,22
470,3477,1057,2,16,20,-1,-1,20
480,3440,1028,3,16,51,-1,-1,51
490,3393,1638,3,28,34,-1,-1,34
500,3387,1381,4,22,76,-1,-1,76
510,3359,1262,2,20,24,-1,-1,24
520,3363,1178,2,18,23,-1,-1,23
530,3394,1108,2,17,21,-1,-1,22
540,3356,1075,2,17,52,-1,-1,52
550,3318,1715,2,29,35,-1,-1,35
560,3255,1438,2,23,29,-1,-1,29
570,3229,1339,2,21,26,-1,-1,26
580,3201,1245,2,19,24,-1,-1,24
590,3174,1170,2,18,23,-1,-1,23
600,3155,1136,6,17,106,-1,-1,106
610,3118,1817,3,30,37,-1,-1,37
620,3083,1539,2,25,31,-1,-1,31
630,3070,1418,3,22,27,-1,-1,27
640,3070,1324,2,21,26,-1,-1,26
650,3028,1236,3,19,24,-1,-1,25
660,3006,1203,6,18,59,-1,-1,59
670,2957,1891,4,32,40,-1,-1,41
680,2944,1620,2,27,33,-1,-1,33
690,2955,1489,1,24,29,-1,-1,29
700,2939,1397,2,22,77,-1,-1,77
710,2928,1300,3,20,25,-1,-1,25
720,2896,1262,6,20,62,-1,-1,62
730,2810,1952,5,34,43,-1,-1,43
740,2802,1694,2,28,34,-1,-1,34
750,2753,1569,3,26,31,-1,-1,32
760,2692,1465,2,23,28,-1,-1,28
770,2650,1372,3,21,26,-1,-1,26
780,2613,1330,4,21,62,-1,-1,62
790,2579,2029,4,36,43,-1,-1,43
800,2530,1743,2,29,84,-1,-1,84
810,2467,1616,2,26,32,-1,-1,32
820,2453,1517,2,24,29,-1,-1,29
830,2417,1427,2,22,27,-1,-1,27
840,2415,1380,4,21,62,-1,-1,62
850,2375,2099,3,37,44,-1,-1,44
860,2362,1832,3,31,37,-1,-1,37
870,2337,1702,2,27,33,-1,-1,33
880,2306,1602,2,26,30,-1,-1,30
890,2291,1464,2,23,27,-1,-1,27
900,2288,1440,4,22,113,-1,-1,113
910,2218,2164,3,37,44,-1,-1,44
920,2150,1866,2,31,37,-1,-1,37
930,2152,1714,2,27,33,-1,-1,33
940,2132,1615,2,25,30,-1,-1,30
950,2122,1515,2,23,28,-1,-1,28
960,2100,1469,2,22,64,-1,-1,64
970,2036,2229,2,39,45,-1,-1,45
980,2002,1903,3,32,38,-1,-1,38
990,1996,1739,2,28,33,-1,-1,33
1000,1974,1628,7,25,82,-1,-1,82
1010,1970,1513,2,23,27,-1,-1,27
1020,1976,1473,3,23,65,-1,-1,65
1030,1898,2235,2,38,44,-1,-1,44
1040,1890,1942,2,32,38,-1,-1,38
1050,1878,1789,2,30,35,-1,-1,35
1060,1843,1659,2,25,31,-1,-1,31
1070,1832,1531,2,23,28,-1,-1,28
1080,1805,1511,2,23,65,-1,-1,65
1090,1766,2275,2,39,46,-1,-1,46
1100,1754,1951,2,31,86,-1,-1,86
1110,1738,1798,2,29,33,-1,-1,33
1120,1758,1675,2,26,31,-1,-1,31
1130,1769,1549,1,23,28,-1,-1,28
1140,1751,1518,2,23,65,-1,-1,65
1150,1763,2264,3,39,45,-1,-1,45
1160,1766,1939,2,32,38,-1,-1,38
1170,1765,1788,2,29,33,-1,-1,33
1180,1790,1647,2,25,30,-1,-1,30
1190,1768,1527,2,23,27,-1,-1,27
1200,1769,1511,4,23,114,-1,-1,114
1210,1768,2270,2,38,45,-1,-1,45
1220,1777,1959,2,32,38,-1,-1,38
1230,1778,1790,2,29,33,-1,-1,33
1240,1787,1637,2,26,29,-1,-1,29
1250,1780,1514,3,22,27,-1,-1,27
1260,1796,1504,5,23,65,-1,-1,65
1270,1758,2228,3,38,45,-1,-1,45
1280,1773,1898,2,31,37,-1,-1,37
1290,1761,1720,3,27,32,-1,-1,32
1300,1761,1589,4,23,81,-1,-1,81
1310,1762,1482,3,22,27,-1,-1,27
1320,1766,1468,7,22,65,-1,-1,65
1330,1741,2182,5,36,45,-1,-1,45
1340,1752,1882,2,30,36,-1,-1,36
1350,1737,1740,2,27,33,-1,-1,33
1360,1744,1611,2,24,29,-1,-1,29
1370,1739,1482,5,22,29,-1,-1,29
1380,1725,1457,7,22,65,-1,-1,65
1390,1704,2168,5,38,46,-1,-1,46
1400,1682,1913,3,30,87,-1,-1,87
1410,1663,1747,2,27,33,-1,-1,33
1420,1672,1614,2,24,30,-1,-1,30
1430,1703,1483,3,21,27,-1,-1,27
1440,1715,1461,7,22,65,-1,-1,65
1450,1676,2171,5,37,45,-1,-1,46
1460,1652,1906,3,30,37,-1,-1,37
1470,1617,1747,2,27,33,-1,-1,33
1480,1608,1612,3,25,29,-1,-1,29
1490,1619,1510,3,22,28,-1,-1,29
1500,1663,1492,7,22,118,-1,-1,118
1510,1640,2173,6,36,46,-1,-1,46
1520,1656,1901,4,31,39,-1,-1,39
1530,1634,1739,3,27,33,-1,-1,34
1540,1607,1619,3,24,30,-1,-1,30
1550,1577,1510,3,22,28,-1,-1,28
1560,1616,1474,7,21,67,-1,-1,69
1570,1586,2165,6,36,46,-1,-1,46
1580,1620,1896,3,31,37,-1,-1,37
1590,1606,1760,2,28,33,-1,-1,34
1600,1614,1615,4,24,82,-1,-1,82
1610,1588,1506,2,22,27,-1,-1,29
1620,1600,1471,4,22,62,-1,-1,65
1630,1557,2185,3,37,43,-1,-1,43
1640,1565,1916,2,31,36,-1,-1,38
1650,1564,1752,2,27,33,-1,-1,36
1660,1520,1640,2,25,30,-1,-1,31
1670,1540,1512,2,22,27,-1,-1,30
1680,1517,1472,6,22,63,-1,-1,66
1690,1472,2161,5,36,45,-1,-1,46
1700,1483,1894,4,30,86,-1,-1,86
1710,1502,1757,2,27,33,-1,-1,36
1720,1516,1635,2,24,30,-1,-1,30
1730,1536,1520,3,23,27,-1,-1,29
1740,1556,1492,4,22,63,-1,-1,64
1750,1510,2185,5,36,46,-1,-1,46
1760,1513,1906,3,30,37,-1,-1,38
1770,1490,1755,2,27,33,-1,-1,35
1780,1499,1626,3,25,30,-1,-1,30
1790,1504,1524,4,22,29,-1,-1,29
1800,1476,1489,7,22,117,-1,-1,118
1810,1466,2170,7,36,47,-1,-1,47
1820,1460,1918,4,30,38,-1,-1,38
1830,1468,1783,2,28,34,-1,-1,35
1840,1475,1661,4,25,32,-1,-1,34
1850,1468,1556,3,23,29,-1,-1,29
1860,1437,1527,5,22,65,-1,-1,65
1870,1412,2221,7,37,48,-1,-1,48
1880,1389,1951,3,31,38,-1,-1,38
1890,1382,1787,2,28,33,-1,-1,37
1900,1385,1652,4,24,84,-1,-1,87
1910,1387,1523,5,22,28,-1,-1,30
1920,1392,1485,6,21,64,-1,-1,65
1930,1390,2181,6,35,46,-1,-1,46
1940,1401,1942,4,31,38,-1,-1,39
1950,1384,1750,2,26,32,-1,-1,37
1960,1416,1631,2,24,30,-1,-1,35
1970,1435,1502,4,22,28,-1,-1,31
1980,1420,1468,5,21,62,-1,-1,65
1990,1368,2157,5,35,45,-1,-1,45
2000,1323,1906,3,30,86,-1,-1,89
2010,1318,1754,2,26,32,-1,-1,38
2020,1340,1638,3,25,30,-1,-1,36
2030,1314,1525,6,22,31,-1,-1,34
2040,1323,1476,4,22,62,-1,-1,65
2050,1290,2156,5,35,45,-1,-1,45
2060,1273,1890,4,30,36,-1,-1,40
2070,1249,1725,3,26,31,-1,-1,38
2080,1266,1616,2,23,29,-1,-1,35
2090,1292,1526,2,22,27,-1,-1,32
2100,1287,1489,4,22,113,-1,-1,116
2110,1257,2166,5,35,43,-1,-1,45
2120,1257,1884,5,29,38,-1,-1,40
2130,1278,1699,3,25,32,-1,-1,38
2140,1277,1599,3,23,29,-1,-1,35
2150,1264,1494,4,21,28,-1,-1,31
2160,1262,1447,6,20,61,-1,-1,64
2170,1295,2118,6,34,44,-1,-1,45
2180,1334,1866,5,29,37,-1,-1,38
2190,1319,1717,3,26,32,-1,-1,35
2200,1337,1619,4,24,83,-1,-1,88
2210,1315,1532,3,22,28,-1,-1,31
2220,1311,1491,6,22,61,-1,-1,63
2230,1267,2132,7,34,44,-1,-1,44
2240,1261,1870,4,28,36,-1,-1,37
2250,1264,1726,3,26,32,-1,-1,36
2260,1273,1624,3,23,30,-1,-1,34
2270,1249,1542,5,22,28,-1,-1,30
2280,1251,1485,2,21,58,-1,-1,60
2290,1248,2171,2,34,42,-1,-1,42
2300,1245,1900,6,29,88,-1,-1,88
2310,1232,1714,4,25,32,-1,-1,35
2320,1240,1616,5,24,31,-1,-1,34
2330,1238,1531,6,22,29,-1,-1,30
2340,1222,1497,2,22,57,-1,-1,59
2350,1250,2149,4,34,41,-1,-1,43
