sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,7,0,51,-1,-1,58
10,1627,1609,23,20,45,-1,-1,45
20,1613,992,12,11,25,-1,-1,25
30,1632,658,8,7,17,-1,-1,17
40,1672,519,6,6,12,-1,-1,12
50,1696,436,5,4,10,-1,-1,12
60,1735,428,11,4,30,-1,-1,30
70,1807,631,8,7,16,-1,-1,16
80,1864,522,6,6,12,-1,-1,14
90,1871,451,4,5,11,-1,-1,12
100,1913,425,6,5,60,-1,-1,62
110,1944,407,5,5,10,-1,-1,11
120,1973,405,11,4,29,-1,-1,31
130,1993,655,7,8,16,-1,-1,17
140,2039,537,6,7,13,-1,-1,14
150,2073,475,5,6,12,-1,-1,14
160,2116,431,5,5,11,-1,-1,12
170,2162,419,5,5,10,-1,-1,12
180,2177,406,12,4,31,-1,-1,33
190,2195,674,9,8,18,-1,-1,19
200,2236,558,9,7,65,-1,-1,66
210,2257,496,6,5,13,-1,-1,13
220,2272,465,6,5,12,-1,-1,13
230,2286,440,6,6,13,-1,-1,13
240,2303,431,13,5,34,-1,-1,34
250,2299,735,9,9,19,-1,-1,19
260,2341,617,8,8,16,-1,-1,17
270,2363,538,7,6,15,-1,-1,15
280,2419,499,8,6,15,-1,-1,15
290,2441,485,6,5,13,-1,-1,13
300,2462,474,15,6,85,-1,-1,86
310,2473,817,11,11,23,-1,-1,23
320,2483,691,8,9,18,-1,-1,18
330,2474,606,8,8,16,-1,-1,16
340,2483,563,7,7,15,-1,-1,15
350,2500,535,7,6,14,-1,-1,15
360,2512,516,14,7,39,-1,-1,39
370,2520,867,12,12,25,-1,-1,26
380,2514,737,9,9,21,-1,-1,21
390,2510,665,9,9,18,-1,-1,19
400,2547,628,10,8,67,-1,-1,67
410,2557,594,9,8,17,-1,-1,17
420,2563,581,14,8,42,-1,-1,42
430,2547,972,11,13,26,-1,-1,26
440,2552,809,10,11,22,-1,-1,22
450,2539,731,8,10,19,-1,-1,20
460,2553,690,8,9,18,-1,-1,18
470,2535,654,8,9,17,-1,-1,17
480,2512,641,17,8,46,-1,-1,46
490,2474,1050,11,15,28,-1,-1,29
500,2482,867,10,12,70,-1,-1,70
510,2454,780,9,10,22,-1,-1,23
520,2450,739,7,10,19,-1,-1,19
530,2463,698,8,10,18,-1,-1,19
540,2444,675,17,9,48,-1,-1,49
550,2424,1114,13,16,31,-1,-1,31
560,2430,929,11,14,27,-1,-1,28
570,2420,839,10,11,24,-1,-1,24
580,2426,771,10,10,21,-1,-1,22
590,2415,748,8,10,20,-1,-1,20
600,2381,733,17,10,98,-1,-1,98
610,2349,1182,13,17,33,-1,-1,33
620,2321,994,11,14,26,-1,-1,28
630,2317,890,12,12,25,-1,-1,25
640,2308,835,9,11,23,-1,-1,23
650,2268,783,11,11,23,-1,-1,23
660,2256,747,19,10,52,-1,-1,52
670,2214,1185,17,17,37,-1,-1,37
680,2226,1008,14,14,30,-1,-1,31
690,2194,932,11,13,26,-1,-1,26
700,2145,890,10,12,72,-1,-1,72
710,2147,834,9,11,21,-1,-1,22
720,2140,810,16,11,52,-1,-1,53
730,2095,1298,16,19,37,-1,-1,37
740,2077,1108,12,16,30,-1,-1,31
750,2054,1003,12,13,27,-1,-1,27
760,2044,934,10,13,24,-1,-1,25
770,2031,877,10,12,22,-1,-1,23
