sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,5,0,5,58,0,103
10,101,90,3,3,6,20,0,30
20,114,52,3,2,5,15,0,21
30,118,32,2,1,3,11,0,19
40,119,24,3,1,4,10,0,15
50,121,22,4,1,5,10,0,16
60,131,22,4,1,7,15,0,22
70,135,30,3,2,5,12,0,17
80,142,29,3,1,4,12,0,17
90,154,23,3,1,4,12,0,17
100,167,20,6,0,8,11,0,19
110,179,15,5,1,6,10,0,16
120,189,14,4,0,6,16,0,23
130,204,26,2,1,3,13,0,17
140,213,24,1,1,3,13,0,16
150,219,25,3,1,4,13,0,17
160,223,21,2,1,3,12,0,16
170,237,18,2,1,3,12,0,16
180,250,17,2,1,4,18,0,24
190,255,28,2,1,3,14,0,18
200,263,26,2,0,6,14,0,21
210,269,23,1,2,3,14,0,18
220,271,23,1,1,2,14,0,17
230,273,19,2,1,3,13,0,18
240,280,17,3,1,6,19,0,27
250,282,26,2,1,4,16,0,22
260,282,32,1,2,3,16,0,21
270,286,28,1,1,2,17,0,20
280,287,26,2,1,3,15,0,19
290,286,24,1,1,2,16,0,21
300,291,23,2,1,9,23,0,33
310,291,35,2,1,4,17,0,21
320,295,31,1,2,3,17,0,23
330,302,28,1,1,2,17,0,22
340,308,28,1,1,3,16,0,22
350,313,26,1,1,3,18,0,23
360,320,27,3,1,7,27,0,35
370,321,48,1,1,3,21,0,25
380,326,43,2,1,3,19,0,23
390,331,34,2,1,3,18,0,25
400,335,32,2,1,7,18,0,27
410,334,31,2,1,3,18,0,22
420,336,31,1,1,6,28,0,36
430,331,56,2,2,4,21,0,26
440,331,46,2,2,4,20,0,25
450,337,38,2,2,4,20,0,24
460,333,35,1,1,4,18,0,22
470,336,33,1,1,2,18,0,22
480,340,31,2,1,6,28,0,37
490,335,56,2,2,4,21,0,26
500,332,54,1,2,5,21,0,27
510,329,46,1,2,3,20,0,24
520,328,40,2,1,3,19,0,25
530,330,37,2,1,3,19,0,23
540,336,39,1,2,8,32,0,40
550,337,68,1,2,4,24,0,29
560,333,63,1,2,4,23,0,28
570,326,58,2,2,4,22,0,27
580,322,49,2,2,4,20,0,24
590,312,41,1,1,2,20,0,23
600,312,40,1,1,8,33,0,42
610,310,72,1,3,4,25,0,30
620,311,65,2,2,5,23,0,28
630,314,59,1,2,4,22,0,26
640,324,54,1,2,4,22,0,26
650,327,44,4,1,5,21,0,27
660,331,43,2,1,9,33,0,43
670,325,75,1,3,4,25,0,32
680,318,68,3,2,5,23,0,29
690,308,65,1,3,5,22,0,27
700,300,61,1,3,4,22,0,27
710,302,47,5,2,7,19,0,27
