sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,8,0,9,62,0,90
10,105,88,3,3,6,21,0,28
20,113,50,3,2,5,15,0,21
30,127,33,3,1,4,14,0,20
40,132,29,3,1,4,11,0,16
50,140,21,6,0,7,10,0,17
60,148,21,4,1,7,15,0,23
70,139,25,3,1,4,11,0,16
80,152,21,6,0,7,10,0,17
90,157,19,5,1,6,10,0,16
100,167,17,6,0,8,10,0,19
110,167,17,4,1,6,10,0,17
120,176,16,5,0,7,17,0,25
130,191,28,2,1,3,12,0,16
140,199,23,2,1,3,12,0,16
150,207,20,3,1,4,11,0,17
160,212,21,2,1,3,12,0,17
170,218,19,2,1,3,12,0,17
180,225,18,2,0,5,18,0,25
190,227,32,2,1,3,13,0,18
200,242,27,1,1,7,13,0,22
210,245,23,2,1,3,13,0,19
220,250,20,2,1,3,13,0,18
230,266,19,2,1,3,12,0,18
240,272,18,2,1,5,19,0,27
250,273,31,2,1,3,15,0,21
260,282,24,2,1,3,14,0,20
270,284,22,4,1,5,14,0,20
280,286,20,2,1,3,14,0,20
290,280,19,2,0,2,14,0,20
300,281,19,2,1,9,21,0,33
310,291,33,1,1,3,17,0,22
320,294,29,2,1,3,16,0,23
330,301,24,2,1,3,16,0,22
340,305,22,2,1,3,15,0,22
350,308,20,1,2,3,16,0,22
360,309,18,4,0,7,22,0,32
370,313,34,4,1,6,18,0,25
380,318,30,5,1,6,17,0,24
390,320,27,2,1,3,16,0,25
400,331,27,2,1,7,17,0,28
410,342,25,2,1,4,16,0,22
420,348,25,3,1,7,23,0,32
430,355,42,4,2,6,20,0,27
440,355,36,4,1,5,19,0,25
450,360,30,2,1,4,18,0,24
460,357,29,2,1,3,18,0,23
470,359,26,1,1,3,18,0,23
480,359,25,4,1,7,22,0,32
490,351,36,4,1,5,18,0,27
500,348,35,2,1,7,18,0,26
510,351,33,4,1,5,18,0,24
520,349,33,2,2,4,17,0,24
530,343,31,2,1,4,17,0,22
540,342,30,6,1,9,24,0,34
550,335,46,6,1,9,20,0,29
560,330,43,6,2,8,19,0,27
570,321,41,4,2,6,19,0,26
580,317,40,3,2,6,19,0,26
590,321,40,2,1,4,19,0,24
600,317,39,3,1,8,29,0,38
610,311,63,4,2,6,23,0,30
620,301,62,4,3,7,22,0,29
630,293,56,3,2,5,21,0,27
640,291,57,2,2,4,21,0,26
650,285,55,3,2,5,21,0,27
660,280,53,4,2,10,30,0,41
670,278,81,3,3,6,23,0,32
680,270,71,4,2,6,22,0,29
690,268,64,3,2,6,21,0,27
700,259,60,3,2,5,21,0,27
710,252,61,4,2,7,20,0,28
720,254,55,5,1,11,33,0,45
730,226,93,2,4,6,25,0,32
740,223,85,3,2,6,23,0,32
750,218,66,7,2,10,19,0,30
760,215,63,5,2,7,19,0,27
770,210,63,6,2,8,19,0,28
780,199,57,6,2,13,39,0,53
790,185,95,5,3,9,23,0,32
800,181,89,3,3,7,23,0,30
810,181,68,7,2,9,19,0,29
820,177,69,6,2,8,20,0,29
830,168,59,6,2,8,18,0,27
840,169,55,7,1,14,30,0,45
850,168,81,9,3,12,21,0,34
860,176,72,9,2,12,21,0,33
870,172,57,10,2,13,18,0,31
880,169,52,9,1,11,16,0,27
890,171,46,10,2,13,16,0,29
900,174,44,9,1,15,27,0,42
910,172,71,9,2,12,20,0,32
920,171,70,10,3,13,19,0,33
930,172,60,7,3,10,18,0,28
940,173,57,7,2,9,18,0,28
950,175,59,6,2,8,17,0,26
960,171,55,7,2,13,28,0,42
970,171,83,8,3,12,22,0,35
980,172,71,10,2,13,19,0,32
990,176,64,7,2,9,18,0,28
1000,184,61,5,2,8,18,0,27
1010,181,59,3,2,5,17,0,25
1020,184,52,7,2,13,28,0,41
1030,184,79,8,3,12,21,0,33
1040,187,71,8,3,11,19,0,31
1050,195,65,7,3,10,18,0,29
1060,186,65,5,3,8,18,0,27
1070,191,65,3,3,6,18,0,25
1080,195,54,8,2,14,27,0,41
1090,189,77,9,3,12,19,0,32
1100,190,67,9,2,13,17,0,30
1110,193,59,10,2,12,16,0,29
1120,199,61,10,2,12,17,0,30
1130,196,62,6,2,8,17,0,26
1140,194,55,10,2,16,26,0,42
1150,191,79,9,2,13,20,0,33
1160,192,74,11,2,14,18,0,32
1170,196,67,14,2,16,18,0,35
1180,193,64,15,2,17,17,0,35
1190,192,60,10,3,13,18,0,31
1200,195,50,13,2,19,26,0,46
1210,187,70,14,3,17,19,0,37
1220,197,63,14,3,17,17,0,35
1230,198,53,17,2,19,16,0,35
1240,192,45,10,2,12,15,0,29
1250,191,44,7,2,9,14,0,26
1260,195,41,7,2,13,25,0,42
1270,188,70,10,2,13,20,0,35
1280,186,69,9,2,12,18,0,30
1290,189,66,10,3,14,17,0,31
1300,186,61,5,2,12,17,0,30
1310,190,54,8,2,10,17,0,30
1320,198,53,7,2,15,32,0,48
1330,196,96,6,3,10,24,0,35
1340,194,89,6,3,9,23,0,33
1350,198,81,7,3,10,21,0,31
1360,214,74,7,3,10,20,0,31
1370,215,65,7,2,10,18,0,29
1380,217,59,5,2,14,35,0,49
1390,214,103,6,4,11,26,0,37
1400,216,97,2,4,7,25,0,33
1410,219,92,2,3,5,23,0,29
1420,215,83,3,3,6,22,0,29
1430,212,70,5,3,8,20,0,29
1440,219,65,4,2,13,47,0,60
1450,211,105,6,3,10,29,0,40
1460,208,99,5,4,9,24,0,33
1470,209,90,6,3,9,22,0,32
1480,211,78,9,3,12,21,0,34
1490,214,68,8,2,11,20,0,32
1500,207,63,5,2,16,34,0,51
1510,202,100,11,4,16,26,0,43
1520,199,100,8,4,12,26,0,40
1530,199,100,6,3,9,24,0,34
1540,201,94,6,4,10,23,0,33
1550,201,76,5,3,8,22,0,31
