sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,33,0,33,63,0,124
10,94,102,10,3,14,21,0,35
20,102,69,2,2,4,16,0,21
30,113,38,7,1,8,12,0,22
40,112,31,3,1,4,10,0,14
50,105,27,4,1,5,10,0,17
60,116,25,5,1,8,14,0,24
70,128,33,1,1,2,12,0,17
80,132,28,3,1,4,10,0,17
90,137,21,4,1,5,10,0,19
100,136,19,1,1,4,10,0,16
110,141,18,4,1,5,9,0,17
120,133,17,4,1,6,14,0,24
130,136,27,1,1,2,11,0,17
140,145,24,2,1,3,11,0,16
150,145,19,3,1,4,9,0,17
160,143,17,1,1,2,9,0,16
170,151,16,1,1,2,9,0,17
180,160,16,2,1,5,14,0,23
190,170,28,2,1,3,11,0,19
200,181,26,2,1,6,11,0,21
210,181,24,2,1,3,11,0,19
220,178,22,1,1,2,10,0,18
230,183,21,1,1,2,11,0,18
240,189,21,1,0,4,17,0,27
250,183,38,1,1,3,13,0,22
260,189,35,2,1,3,13,0,21
270,194,30,4,1,5,11,0,20
280,202,24,1,1,2,10,0,19
290,201,21,2,0,2,10,0,20
300,204,21,1,1,8,16,0,30
310,211,35,2,1,3,13,0,22
320,217,36,2,1,3,14,0,22
330,221,33,2,1,3,13,0,22
340,227,30,1,0,3,13,0,23
350,235,21,3,1,4,13,0,24
360,239,21,1,1,5,19,0,31
370,237,38,8,2,10,15,0,25
380,238,40,5,2,7,16,0,24
390,245,35,1,1,2,15,0,24
400,248,33,1,1,8,14,0,28
410,239,27,2,1,3,14,0,23
420,239,27,2,1,7,20,0,32
430,241,43,5,1,6,16,0,26
440,240,41,5,1,6,16,0,26
450,247,39,2,1,4,15,0,23
460,243,33,2,1,3,14,0,22
470,249,29,2,1,3,14,0,22
480,253,29,4,1,8,21,0,34
490,252,46,2,1,4,17,0,26
500,244,45,2,2,7,16,0,26
510,247,42,5,2,7,16,0,23
520,243,37,7,1,8,15,0,26
530,250,30,7,1,8,15,0,24
540,261,28,9,1,13,23,0,37
550,261,52,10,1,12,17,0,29
560,259,50,9,2,11,17,0,29
570,254,45,7,2,9,16,0,26
580,251,42,7,2,9,15,0,25
590,248,33,7,1,8,14,0,23
600,250,33,9,1,13,22,0,36
610,256,53,10,2,12,17,0,30
620,254,46,10,2,12,16,0,28
630,258,40,9,2,11,15,0,27
640,265,36,9,1,11,14,0,26
650,275,27,10,1,11,14,0,26
660,280,25,13,1,16,20,0,38
670,279,42,13,1,14,16,0,33
680,280,36,11,2,13,15,0,29
690,281,32,10,1,12,15,0,28
700,280,31,9,1,10,15,0,27
710,288,23,9,1,10,14,0,27
720,293,24,10,2,14,20,0,37
730,295,37,7,1,8,16,0,29
740,299,34,10,1,11,15,0,32
750,301,32,10,1,11,16,0,30
760,302,28,8,1,10,14,0,27
770,305,24,8,1,9,15,0,28
780,308,23,10,1,14,21,0,38
790,297,40,7,1,8,18,0,31
800,309,39,11,1,13,18,0,33
810,314,33,8,1,10,16,0,29
820,324,31,7,2,9,17,0,28
830,320,28,6,1,8,16,0,27
840,328,27,11,1,15,21,0,39
850,333,43,8,1,9,18,0,33
860,338,43,8,2,10,18,0,31
870,342,39,8,2,10,19,0,31
880,345,36,7,2,9,18,0,28
890,346,33,7,1,9,18,0,28
900,348,31,10,1,14,23,0,38
910,351,50,9,1,11,20,0,33
920,352,43,8,2,10,20,0,32
930,363,40,7,2,9,18,0,28
940,364,39,7,2,9,19,0,29
950,366,38,3,2,5,19,0,25
960,361,36,5,2,10,25,0,37
970,359,54,7,2,10,20,0,34
980,357,49,8,2,10,20,0,31
990,361,45,5,2,7,19,0,28
1000,360,43,5,2,8,18,0,26
1010,363,43,1,2,3,18,0,24
1020,371,36,9,1,13,24,0,37
1030,361,47,7,1,9,19,0,31
1040,361,40,9,1,10,18,0,32
1050,366,38,7,1,8,18,0,29
1060,368,36,7,2,9,17,0,27
1070,369,35,4,2,6,17,0,24
1080,379,31,10,1,13,24,0,38
1090,378,48,7,2,9,21,0,31
1100,388,44,7,1,9,21,0,32
1110,393,42,8,1,9,20,0,31
1120,393,43,7,2,9,20,0,30
1130,403,41,3,2,5,20,0,26
1140,405,37,7,1,12,27,0,39
1150,399,58,6,2,9,23,0,33
1160,399,48,8,1,10,22,0,34
1170,405,45,12,1,13,21,0,36
1180,408,45,11,2,13,20,0,34
1190,407,39,6,1,8,20,0,28
1200,411,37,10,1,15,28,0,44
