sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,35,0,35,94,0,144
10,96,107,6,4,10,22,0,32
20,92,68,1,3,4,15,0,20
30,101,39,1,2,3,12,0,17
40,101,32,2,1,3,11,0,16
50,107,26,1,1,2,10,0,16
60,114,25,2,0,4,14,0,22
70,119,37,1,1,2,13,0,17
80,122,32,2,2,4,12,0,16
90,122,32,3,1,5,11,0,17
100,130,27,1,1,6,11,0,21
110,135,24,2,0,2,10,0,16
120,132,24,1,0,4,17,0,26
130,129,37,1,1,3,13,0,17
140,135,31,2,1,3,11,0,16
150,136,31,3,1,4,11,0,17
160,136,28,1,1,2,12,0,17
170,133,26,1,0,2,10,0,16
180,137,27,1,1,5,15,0,23
190,141,39,1,2,3,13,0,20
200,151,30,1,1,6,12,0,22
210,161,23,2,0,2,11,0,18
220,163,21,1,1,2,11,0,18
230,168,20,2,0,2,10,0,18
240,175,19,2,1,4,16,0,26
250,176,29,2,1,3,12,0,21
260,180,25,1,1,2,12,0,19
270,188,24,2,1,3,12,0,21
280,195,22,1,1,2,12,0,19
290,206,22,1,1,2,13,0,20
300,210,20,2,1,8,17,0,31
310,218,30,1,1,2,14,0,23
320,228,25,1,1,2,13,0,24
330,240,24,1,1,2,14,0,22
340,245,22,1,1,2,14,0,22
350,249,19,4,0,4,13,0,24
360,246,17,2,0,4,18,0,29
370,247,30,1,0,3,15,0,25
380,253,24,2,0,3,14,0,25
390,257,23,2,1,3,15,0,26
400,263,21,2,0,7,14,0,27
410,264,22,1,1,2,16,0,24
420,267,19,2,1,5,19,0,29
430,270,30,2,1,3,16,0,26
440,277,21,2,1,3,15,0,25
450,280,19,2,1,3,14,0,23
460,278,20,1,1,3,14,0,22
470,285,19,1,1,2,15,0,21
480,289,18,4,0,6,19,0,30
490,292,29,2,0,4,16,0,26
500,294,27,2,1,7,16,0,28
510,290,24,3,1,4,16,0,24
520,294,22,1,1,2,16,0,22
530,301,17,3,1,4,15,0,23
540,312,15,4,0,6,21,0,32
550,316,29,7,1,8,17,0,30
560,325,28,8,1,9,17,0,28
570,335,23,7,1,8,17,0,26
580,336,23,5,1,6,17,0,24
590,337,22,5,1,6,16,0,22
600,340,22,7,1,14,23,0,38
610,343,37,8,1,10,19,0,30
620,335,30,8,2,10,18,0,28
630,338,26,7,1,8,18,0,26
640,342,27,6,1,8,18,0,26
650,344,26,6,1,7,18,0,25
660,346,20,7,0,9,23,0,34
670,340,33,6,1,7,19,0,30
680,339,28,6,1,8,18,0,29
690,344,23,5,1,6,18,0,28
700,343,22,2,0,7,18,0,27
710,346,23,6,1,7,17,0,26
720,348,20,7,1,10,24,0,35
730,342,36,10,1,11,20,0,33
740,336,33,12,1,13,19,0,33
750,336,28,12,1,13,18,0,32
760,334,26,9,1,10,18,0,29
770,327,28,7,1,8,18,0,27
780,327,27,10,1,14,23,0,38
790,313,41,12,2,14,18,0,35
800,308,32,5,2,11,20,0,34
810,303,31,10,1,11,17,0,31
820,299,28,7,1,8,16,0,27
830,295,31,8,1,10,17,0,30
840,295,28,9,0,12,23,0,38
850,290,46,11,2,13,19,0,34
860,290,39,10,1,12,18,0,33
870,292,33,9,1,10,17,0,30
880,289,32,8,1,10,16,0,28
890,292,35,8,2,10,17,0,28
900,292,30,4,1,12,23,0,36
910,302,45,11,2,13,19,0,35
920,303,43,11,2,13,19,0,33
930,307,38,7,2,9,18,0,28
940,314,34,6,1,8,18,0,28
950,320,38,7,1,8,19,0,28
960,327,34,4,1,8,25,0,34
970,323,47,8,2,10,20,0,32
980,332,45,10,1,12,20,0,33
990,334,39,8,1,10,19,0,30
1000,336,34,1,1,7,19,0,27
1010,340,37,8,2,10,20,0,30
1020,344,33,4,1,8,26,0,35
1030,345,49,6,1,9,21,0,30
1040,344,43,9,2,11,20,0,31
1050,346,39,6,2,8,21,0,29
1060,348,34,5,1,7,19,0,26
1070,345,33,2,2,4,19,0,23
1080,343,31,4,1,8,25,0,36
1090,343,45,7,2,9,22,0,32
1100,352,42,6,2,11,21,0,32
1110,354,41,5,2,8,21,0,29
1120,353,36,7,2,9,20,0,29
1130,358,34,4,1,5,20,0,26
1140,359,33,4,1,8,27,0,35
1150,356,51,8,2,11,22,0,33
1160,357,45,10,2,12,21,0,33
1170,352,39,12,2,15,20,0,35
1180,356,38,10,1,12,21,0,34
1190,354,37,9,2,11,20,0,31
1200,355,34,7,1,13,28,0,42
1210,354,50,7,2,10,23,0,33
1220,359,46,7,2,9,22,0,32
1230,366,43,8,1,10,23,0,33
1240,369,39,3,1,5,22,0,27
1250,371,39,3,1,5,22,0,27
1260,376,37,4,2,9,29,0,38
1270,380,55,7,2,9,24,0,34
1280,385,51,5,2,7,24,0,32
1290,385,43,7,2,9,22,0,32
1300,395,35,5,2,8,21,0,30
1310,400,33,6,2,8,20,0,28
1320,400,28,9,1,13,27,0,40
1330,401,45,9,2,11,23,0,35
1340,403,36,9,2,11,21,0,32
1350,404,29,9,1,10,21,0,32
1360,395,28,9,1,10,20,0,31
1370,394,31,6,1,8,21,0,29
1380,390,31,9,1,13,27,0,40
1390,386,42,11,1,12,22,0,36
1400,389,33,5,1,11,21,0,33
1410,387,33,7,1,8,21,0,30
1420,381,30,6,1,8,20,0,28
1430,380,32,7,1,8,21,0,30
1440,377,28,9,1,12,26,0,39
1450,374,40,10,1,12,22,0,36
1460,372,32,10,1,11,20,0,33
1470,376,29,10,1,12,20,0,32
1480,382,27,11,1,12,20,0,33
1490,385,29,8,1,9,21,0,31
1500,386,24,9,0,15,26,0,42
1510,384,33,14,1,15,22,0,41
1520,384,27,14,1,15,20,0,39
1530,385,27,13,1,15,20,0,35
1540,396,24,12,1,14,20,0,34
1550,396,23,9,1,10,21,0,32
1560,403,21,14,1,17,26,0,43
